res_gs,work_gs,Residence,Workplace,SUM_Total_means_of_transportation
gs06,gs12,Inner West,Middle/Outer South,448
gs06,gs13,Inner West,Middle Southwest,1585
gs06,gs14,Inner West,Middle West,6846
gs06,gs15,Inner West,Middle Upper West,4753
gs06,gs16,Inner West,Middle Lower West,5966
gs06,gs17,Inner West,Outer North,400
gs06,gs18,Inner West,Outer Northwest,630
gs06,gs19,Inner West,Outer Southwest,503
gs06,gs20,Inner West,Outer West,275
gs06,gs21,Inner West,Outer Upper West,134
gs06,gs22,Inner West,Outer Lower West,235
gs06,gs23,Inner West,External Illinois,119
gs06,gs24,Inner West,External Indiana,35
gs06,gs25,Inner West,External Wisconsin,10
gs07,gs01,Inner Upper West,Central,20025
gs07,gs02,Inner Upper West,Inner North,8353
gs07,gs03,Inner Upper West,Inner Northwest,15338
gs07,gs04,Inner Upper West,Inner South,2028
gs07,gs05,Inner Upper West,Inner Southwest,2259
gs07,gs06,Inner Upper West,Inner West,7726
gs07,gs07,Inner Upper West,Inner Upper West,15948
gs07,gs08,Inner Upper West,Inner Lower West,2548
gs07,gs09,Inner Upper West,Northwest Indiana,84
gs07,gs10,Inner Upper West,Middle North,1894
gs07,gs11,Inner Upper West,Middle Northwest,3046
gs07,gs12,Inner Upper West,Middle/Outer South,368
gs07,gs13,Inner Upper West,Middle Southwest,861
gs07,gs14,Inner Upper West,Middle West,3076
gs07,gs15,Inner Upper West,Middle Upper West,4463
gs07,gs16,Inner Upper West,Middle Lower West,2399
gs07,gs17,Inner Upper West,Outer North,465
gs07,gs18,Inner Upper West,Outer Northwest,1080
gs07,gs19,Inner Upper West,Outer Southwest,205
gs07,gs20,Inner Upper West,Outer West,203
gs07,gs21,Inner Upper West,Outer Upper West,122
gs07,gs22,Inner Upper West,Outer Lower West,163
gs07,gs23,Inner Upper West,External Illinois,39
gs07,gs24,Inner Upper West,External Indiana,20
gs07,gs25,Inner Upper West,External Wisconsin,10
gs08,gs01,Inner Lower West,Central,22064
gs08,gs02,Inner Lower West,Inner North,3734
gs08,gs03,Inner Lower West,Inner Northwest,4265
gs08,gs04,Inner Lower West,Inner South,3192
gs08,gs05,Inner Lower West,Inner Southwest,7467
gs08,gs06,Inner Lower West,Inner West,9902
gs08,gs07,Inner Lower West,Inner Upper West,2776
gs08,gs08,Inner Lower West,Inner Lower West,29613
gs08,gs09,Inner Lower West,Northwest Indiana,248
gs08,gs10,Inner Lower West,Middle North,1236
gs08,gs11,Inner Lower West,Middle Northwest,1993
gs08,gs12,Inner Lower West,Middle/Outer South,554
gs08,gs13,Inner Lower West,Middle Southwest,3138
gs08,gs14,Inner Lower West,Middle West,3932
gs08,gs15,Inner Lower West,Middle Upper West,2701
gs08,gs16,Inner Lower West,Middle Lower West,8145
gs08,gs17,Inner Lower West,Outer North,182
gs08,gs18,Inner Lower West,Outer Northwest,719
gs08,gs19,Inner Lower West,Outer Southwest,1070
gs08,gs20,Inner Lower West,Outer West,194
gs08,gs21,Inner Lower West,Outer Upper West,140
gs08,gs22,Inner Lower West,Outer Lower West,277
gs08,gs23,Inner Lower West,External Illinois,172
gs08,gs24,Inner Lower West,External Indiana,58
gs09,gs01,Northwest Indiana,Central,8432
gs09,gs02,Northwest Indiana,Inner North,699
gs09,gs03,Northwest Indiana,Inner Northwest,946
gs09,gs04,Northwest Indiana,Inner South,9732
gs09,gs05,Northwest Indiana,Inner Southwest,1874
gs09,gs06,Northwest Indiana,Inner West,562
gs09,gs07,Northwest Indiana,Inner Upper West,200
gs09,gs08,Northwest Indiana,Inner Lower West,885
gs09,gs09,Northwest Indiana,Northwest Indiana,90782
gs09,gs10,Northwest Indiana,Middle North,111
gs09,gs11,Northwest Indiana,Middle Northwest,415
gs09,gs12,Northwest Indiana,Middle/Outer South,6974
gs09,gs13,Northwest Indiana,Middle Southwest,1920
gs09,gs14,Northwest Indiana,Middle West,385
gs09,gs15,Northwest Indiana,Middle Upper West,417
gs09,gs16,Northwest Indiana,Middle Lower West,860
gs09,gs17,Northwest Indiana,Outer North,66
gs09,gs18,Northwest Indiana,Outer Northwest,101
gs09,gs19,Northwest Indiana,Outer Southwest,1426
gs09,gs20,Northwest Indiana,Outer West,15
gs09,gs21,Northwest Indiana,Outer Upper West,55
gs09,gs22,Northwest Indiana,Outer Lower West,10
gs09,gs23,Northwest Indiana,External Illinois,353
gs09,gs24,Northwest Indiana,External Indiana,17208
gs10,gs01,Middle North,Central,13391
gs10,gs02,Middle North,Inner North,6312
gs10,gs03,Middle North,Inner Northwest,3088
gs10,gs04,Middle North,Inner South,549
gs10,gs05,Middle North,Inner Southwest,435
gs10,gs06,Middle North,Inner West,450
gs10,gs07,Middle North,Inner Upper West,349
gs10,gs08,Middle North,Inner Lower West,302
gs10,gs09,Middle North,Northwest Indiana,45
gs10,gs10,Middle North,Middle North,17973
gs10,gs11,Middle North,Middle Northwest,3013
gs10,gs12,Middle North,Middle/Outer South,115
gs10,gs13,Middle North,Middle Southwest,278
