res_gs,work_gs,Residence,Workplace,SUM_Total_means_of_transportation
gs24,gs06,External Indiana,Inner West,107
gs24,gs07,External Indiana,Inner Upper West,125
gs24,gs08,External Indiana,Inner Lower West,242
gs24,gs09,External Indiana,Northwest Indiana,32071
gs24,gs10,External Indiana,Middle North,81
gs24,gs11,External Indiana,Middle Northwest,141
gs24,gs12,External Indiana,Middle/Outer South,2194
gs24,gs13,External Indiana,Middle Southwest,528
gs24,gs14,External Indiana,Middle West,188
gs24,gs15,External Indiana,Middle Upper West,124
gs24,gs16,External Indiana,Middle Lower West,261
gs24,gs17,External Indiana,Outer North,69
gs24,gs18,External Indiana,Outer Northwest,74
gs24,gs19,External Indiana,Outer Southwest,534
gs24,gs21,External Indiana,Outer Upper West,4
gs24,gs22,External Indiana,Outer Lower West,4
gs24,gs23,External Indiana,External Illinois,278
gs24,gs24,External Indiana,External Indiana,87316
gs24,gs25,External Indiana,External Wisconsin,30
gs25,gs01,External Wisconsin,Central,830
gs25,gs02,External Wisconsin,Inner North,408
gs25,gs03,External Wisconsin,Inner Northwest,734
gs25,gs04,External Wisconsin,Inner South,132
gs25,gs05,External Wisconsin,Inner Southwest,112
gs25,gs06,External Wisconsin,Inner West,155
gs25,gs07,External Wisconsin,Inner Upper West,190
gs25,gs08,External Wisconsin,Inner Lower West,78
gs25,gs10,External Wisconsin,Middle North,413
gs25,gs11,External Wisconsin,Middle Northwest,659
gs25,gs12,External Wisconsin,Middle/Outer South,29
gs25,gs13,External Wisconsin,Middle Southwest,46
gs25,gs14,External Wisconsin,Middle West,150
gs25,gs15,External Wisconsin,Middle Upper West,342
gs25,gs16,External Wisconsin,Middle Lower West,299
gs25,gs17,External Wisconsin,Outer North,5469
gs25,gs18,External Wisconsin,Outer Northwest,12460
gs25,gs19,External Wisconsin,Outer Southwest,23
gs25,gs20,External Wisconsin,Outer West,41
gs25,gs21,External Wisconsin,Outer Upper West,141
gs25,gs22,External Wisconsin,Outer Lower West,22
gs25,gs23,External Wisconsin,External Illinois,453
gs25,gs24,External Wisconsin,External Indiana,10
gs25,gs25,External Wisconsin,External Wisconsin,127119
