id,vadt,AADT,FacilityType
10347-9676,19598.63678,10350,Interstate
10357-10211,28387.3631,19050,Arterial/Collector
10357-10419,23573.70374,19750,Arterial/Collector
10358-10365,13895.14233,10650,Arterial/Collector
10358-10525,9280.739322,1400,Arterial/Collector
10361-9629,7679.818512,4400,Arterial/Collector
10362-10010,7418.168862,1100,Arterial/Collector
10362-10405,20586.47056,10950,Arterial/Collector
10363-10364,640.4306058,1150,Arterial/Collector
10364-10363,741.1896812,1150,Arterial/Collector
10365-10118,12696.72076,6800,Arterial/Collector
10365-10358,13209.88362,10650,Arterial/Collector
10365-10612,12506.53958,8850,Arterial/Collector
10369-9822,5711.528849,500,Arterial/Collector
10383-10299,11636.14942,3650,Arterial/Collector
10389-10390,9047.690353,9300,Arterial/Collector
10390-10389,9629.56258,9300,Arterial/Collector
10390-10391,11530.38628,9300,Arterial/Collector
10391-10132,2619.906978,3150,Arterial/Collector
10391-10390,12988.27055,9300,Arterial/Collector
10391-10580,9749.409049,11950,Arterial/Collector
10392-10539,8424.392631,4900,Arterial/Collector
10393-21143,80610.95107,74400,Interstate
10395-10785,36443.42172,24850,Interstate
10403-21771,36896.0305,24850,Interstate
10405-10362,21249.61692,10950,Arterial/Collector
10405-10430,5500.163637,3900,Arterial/Collector
10415-10189,8004.385172,2950,Arterial/Collector
10415-10700,6770.550122,5100,Arterial/Collector
10419-10357,25009.28639,19750,Arterial/Collector
10419-10611,24334.25914,19750,Arterial/Collector
10429-11649,2579.244146,750,Arterial/Collector
10430-10405,5509.963381,3900,Arterial/Collector
10430-10730,5529.909874,2700,Arterial/Collector
10436-10447,6793.556539,8750,Arterial/Collector
10439-10339,1903.070945,1750,Arterial/Collector
10439-10440,3348.78603,1900,Arterial/Collector
10439-10445,4224.778361,1900,Arterial/Collector
10440-10439,6127.849341,1900,Arterial/Collector
10440-10446,821.4576988,1300,Arterial/Collector
10440-20077,46755.61479,22500,Arterial/Collector
10443-10444,1034.381533,700,Arterial/Collector
10444-10338,1461.009052,1650,Arterial/Collector
10444-10443,2472.490862,700,Arterial/Collector
10444-10445,1628.464515,1900,Arterial/Collector
10444-10542,2312.002489,1650,Arterial/Collector
10445-10339,2728.624694,2200,Arterial/Collector
10445-10439,2785.54279,1900,Arterial/Collector
10445-10444,2685.569835,1900,Arterial/Collector
10445-10543,4045.868164,2200,Arterial/Collector
10446-10440,1847.463062,1300,Arterial/Collector
10447-10436,5530.951599,8750,Arterial/Collector
10447-10448,2016.386168,1050,Arterial/Collector
10447-10598,5137.033568,8750,Arterial/Collector
10448-10447,4099.277239,1050,Arterial/Collector
10472-10575,2052.528088,500,Arterial/Collector
10492-10336,17239.91735,6300,Arterial/Collector
10492-10541,8614.001891,6100,Arterial/Collector
10505-10520,11481.1638,6250,Arterial/Collector
10505-10538,20488.81383,12400,Arterial/Collector
10511-10712,26782.38771,12500,Arterial/Collector
10517-10706,18687.88647,9700,Arterial/Collector
10520-10505,11686.42176,6250,Arterial/Collector
10520-10618,9591.752293,6250,Arterial/Collector
10521-20502,37049.69783,37300,Interstate
10525-10358,8923.196952,1400,Arterial/Collector
10525-10617,8868.264544,1400,Arterial/Collector
10528-10692,5180.171062,2850,Arterial/Collector
10529-20491,51420.82046,35000,Interstate
10538-10505,20960.22848,12400,Arterial/Collector
10538-10546,16764.31676,12400,Arterial/Collector
10538-10725,12717.5191,3900,Arterial/Collector
10539-10392,8242.025253,4900,Arterial/Collector
10539-10580,8491.531739,4900,Arterial/Collector
10541-10492,7481.558319,6100,Arterial/Collector
10541-10595,6574.512982,6100,Arterial/Collector
10542-10444,2783.052671,1650,Arterial/Collector
10542-10591,3901.741264,1650,Arterial/Collector
10543-10445,3889.445211,2200,Arterial/Collector
