id,vadt,AADT,FacilityType
11970-11777,71980.31920496622,84145,Interstate
11975-24011,10726.72147186597,3891,Interstate
11976-12101,51670.82374270757,43200,Interstate
11976-21650,13506.939458126824,12209,Interstate
11977-11899,6593.907599593203,4137,Interstate
11997-24012,18618.415817896526,29485,Interstate
12000-12010,5123.127487500508,7342,Interstate
12008-21640,52038.27870162329,42200,Interstate
12008-21650,12115.527650793394,20640,Interstate
12010-11946,77214.30356470743,106590,Interstate
12013-12634,23495.18957360585,28195,Interstate
12014-12028,10327.794660329817,8909,Interstate
12028-12043,12294.201139767963,15174,Interstate
12030-12027,7134.569935838381,9007,Interstate
12031-21608,14339.186260620754,19798,Interstate
12031-21611,44049.080725987755,73217,Interstate
12037-12010,72091.17858378093,98536,Interstate
12039-21640,13825.811689663678,22311,Interstate
12041-12057,2003.803485924999,4797,Interstate
12042-12051,8686.46422922611,12017,Interstate
12043-12053,52106.43209648132,70194,Interstate
12044-12024,10327.794660329817,8909,Interstate
12044-12043,39812.23078473409,56539,Interstate
12048-20304,65161.17340707778,78700,Interstate
12049-21616,6789.114883437753,6951,Interstate
12050-12037,46468.70937856039,68628,Interstate
12051-21593,62655.16041183472,84390,Interstate
12053-12035,7134.569935838381,9007,Interstate
12053-20729,44971.863231023155,56342,Interstate
12057-12077,65870.36760203044,94571,Interstate
12062-12063,43775.75434239705,56539,Interstate
12062-12104,15097.303620656332,17426,Interstate
12063-11940,50797.82352511088,62558,Interstate
12077-21605,19915.03372859955,21048,Interstate
12077-21612,45955.335496266685,88865,Interstate
12081-12123,10029.610282818476,15077,Interstate
12082-12062,58873.05741739273,70194,Interstate
12090-21606,54813.23262914021,85449,Interstate
12093-12138,5744.407584905624,4728,Interstate
12096-12063,7022.068764966602,8419,Interstate
12101-12049,6789.114883437753,14673,Interstate
12101-21635,44881.70883786678,26300,Interstate
12104-12107,7022.068764966602,8419,Interstate
12109-21601,64404.62358856201,94571,Interstate
12113-20727,8152.361777305602,2856,Interstate
12121-20284,31149.18995862206,15261,Interstate
12124-21842,9639.17722527186,8274,Interstate
12126-11899,54785.172369639076,75923,Interstate
12132-20216,88186.11887931824,98700,Interstate
12134-24080,23440.36414135496,19198,Interstate
12134-24082,24854.988983283438,19138,Interstate
12147-12102,46788.767012039825,43000,Interstate
12147-21624,3537.267150661054,3000,Interstate
12148-12270,26468.96752282977,20446,Interstate
12148-24081,29306.60824950536,20252,Interstate
12157-12808,60263.175778230034,72400,Interstate
12161-12199,4116.140678871734,2800,Interstate
12162-12132,7309.491538641353,6000,Interstate
12170-12259,4589.7338342304765,5500,Interstate
12178-12721,10711.526298334822,12066,Interstate
12182-21632,19124.032306671143,58691,Interstate
12199-20215,88030.52961444855,89400,Interstate
12259-12361,48697.399670600884,29500,Interstate
12270-12148,27065.69583714008,20446,Interstate
12270-12392,26144.274667729936,20446,Interstate
12286-20210,86508.09355735779,98400,Interstate
12288-20468,33574.941336631775,40200,Interstate
12288-20480,9663.066086649895,8200,Interstate
12294-12299,18399.07122054696,18459,Interstate
12294-23290,18240.8749619325,18459,Interstate
12295-23290,22211.125045776367,16518,Interstate
12299-12294,17265.04624134302,18459,Interstate
12304-12343,3724.089938072818,3200,Interstate
12305-12286,6202.050665648034,6400,Interstate
12312-12338,28346.6135721008,22335,Interstate
12323-20467,5675.225135650486,4300,Interstate
12332-20466,9392.145228703817,6500,Interstate
12333-20347,32709.569799701374,22335,Interstate
12338-12333,31814.802089830242,22335,Interstate
12343-12521,85139.56757354736,87800,Interstate
12361-21631,89675.91721089682,95173,Interstate
12362-12147,50326.034416755036,41205,Interstate
12362-21613,50332.67681852976,58691,Interstate
12364-21831,12205.951047261555,14070,Interstate
12369-12364,13390.030400812626,14070,Interstate
12375-12425,2684.284803257324,4627,Interstate
12388-12393,12997.908691604931,14070,Interstate
12392-12270,26328.355449656647,20446,Interstate
12392-12459,31353.57531535626,23498,Interstate
12393-12429,11940.111599842707,14070,Interstate
