County,FacilityType,obs_truckvmt,modeled_truckvmt,diff,obs_share,modeled_share,diff_share
Boone,Arterial/Collector,24826.500061154366,87504.7305648265,62678.23050367214,0.002270249131478338,0.004604637815315993,0.0023343886838376546
Boone,Interstate,65856.00026398897,40930.375858069965,-24925.624405919007,0.006022174975678241,0.002153821344910502,-0.0038683536307677394
Chicago,Arterial/Collector,523433.9976798743,656600.916335136,133166.91865526175,0.04786520756819538,0.034551382415697565,-0.013313825152497814
Chicago,Interstate,726884.9991066381,1252765.0499170353,525880.0508103971,0.06646970107915193,0.06592248539386888,-0.0005472156852830423
DeKalb,Arterial/Collector,53780.99997639656,205034.72114522464,151253.72116882808,0.004917981519170836,0.010789252470626618,0.005871270951455783
DeKalb,Interstate,92021.49944175035,111739.26028286126,19717.76084111091,0.008414868333045824,0.005879897235644034,-0.00253497109740179
DuPage,Arterial/Collector,361944.49905436486,621138.292606577,259193.79355221218,0.033097866497390084,0.03268528286660093,-0.00041258363078915117
DuPage,Interstate,864299.5033722371,1121888.527488116,257589.02411587886,0.07903551414958264,0.05903555504823691,-0.019999959101345728
Grundy,Arterial/Collector,49872.000009566545,190565.8727034413,140693.87269387476,0.004560524617965083,0.010027878699756548,0.005467354081791466
Grundy,Interstate,342686.50238215923,600787.922629208,258101.42024704872,0.031336826877975656,0.031614414097008596,0.00027758721903294037
Kane,Arterial/Collector,196017.49899610877,421047.5364152863,225030.03741917753,0.017924739925253088,0.022156189679221474,0.004231449753968386
Kane,Interstate,250122.00007028878,245132.13344654193,-4989.866623746842,0.02287230386983492,0.012899241951048811,-0.009973061918786108
Kankakee,Arterial/Collector,11299.99983906746,26297.371378614866,14997.371539547406,0.0010333238578597865,0.0013838094227793885,0.00035048556491960197
Kankakee,Interstate,40614.99982923269,45674.29085034419,5059.291021111494,0.003714022027276487,0.002403453681643287,-0.0013105683456332002
Kendall,Arterial/Collector,84940.49953445792,255006.6581465351,170066.15861207718,0.0077673491962391775,0.01341885511422718,0.005651505917988003
Kendall,Interstate,36742.50053912401,63948.41715800795,27205.916618883937,0.00335990291550625,0.003365067213791601,5.1642982853510565e-06
Kenosha,Arterial/Collector,1319.4999754428864,4168.111961916925,2848.6119864740385,0.00012066113491051682,0.0002193326673247115,9.867153241419469e-05
Kenosha,Interstate,13760.000228881836,22788.063390438918,9028.063161557082,0.0012582775861201359,0.0011991440662479007,-5.913351987223516e-05
LaSalle,Arterial/Collector,74596.99983410537,321401.8901033454,246804.89026924002,0.006821492101871122,0.016912677606469622,0.010091185504598501
LaSalle,Interstate,541002.4941578507,1181249.7921085893,640247.2979507386,0.04947175153420988,0.062159239014487326,0.012687487480277447
Lake,Arterial/Collector,258765.0000507012,833376.0516054932,574611.051554792,0.023662659463678792,0.043853570622202104,0.02019091115852331
Lake,Interstate,666824.0022189915,838527.088112561,171703.0858935695,0.06097744781413158,0.044124626339252127,-0.016852821474879452
"Lake, IN",Arterial/Collector,2586.0000669956207,8866.379507153008,6280.379440157387,0.00023647571714249728,0.0004665629629398592,0.00023008724579736192
"Lake, IN",Interstate,2783.000087738037,440.18067537945484,-2342.819412358582,0.0002544903033664924,2.3163005820833817e-05,-0.0002313272975456586
Lee,Interstate,133280.00044226646,391939.838940275,258659.83849800855,0.01218773506141239,0.02062449643652392,0.00843676137511153
McHenry,Arterial/Collector,208124.49927553535,554890.0865083729,346765.58723283757,0.019031859607909565,0.02919919710840701,0.010167337500497444
McHenry,Interstate,72178.00099551678,39249.37609516899,-32928.624900347786,0.006600287743672211,0.002065364469198432,-0.004534923274473779
Ogle,Arterial/Collector,6659.00003015995,35830.585259598534,29171.585229438584,0.0006089295308539727,0.001885462268911545,0.0012765327380575725
Ogle,Interstate,232388.50138038397,419753.4571434278,187364.95576304384,0.02125067134412011,0.02208809317389252,0.0008374218297724119
Other,Arterial/Collector,1819.0000116825104,12371.226577121794,10552.226565439283,0.00016633771117592204,0.000650993578874637,0.000484655867698715
Other,Interstate,15680.000305175781,25314.682488935312,9634.68218375953,0.0014338512068442645,0.001332098773619031,-0.00010175243322523356
Suburban Cook,Arterial/Collector,1041538.9958582819,2542839.0133457636,1501300.0174874817,0.09524310695923922,0.13380822503576983,0.03856511807653061
Suburban Cook,Interstate,2075890.501267556,2647335.3494801973,571444.8482126412,0.18982895679769324,0.13930698810630027,-0.05052196869139297
Walworth,Arterial/Collector,268.0000066757202,1049.654529183502,781.6545225077818,2.4507150862708127e-05,5.523448740311701e-05,3.072733654040888e-05
Will,Arterial/Collector,331042.49996356666,719941.8240379647,388899.324074398,0.0302720458451025,0.037884481517680535,0.007612435672578036
Will,Interstate,896392.9938111454,1553608.8282656742,657215.8344545288,0.08197029024027466,0.0817533625286819,-0.00021692771159276258
Winnebago,Arterial/Collector,137265.99901728332,353973.57383629866,216707.57481901534,0.012552233068812358,0.01862665130431626,0.006074418235503903
Winnebago,Interstate,496075.0033456832,548630.55215673,52555.548811046756,0.045363375534992145,0.028869810475298168,-0.016493565059693977
Total,Total,10935583.99248803,19003607.683055416,8068023.690567385,1.0,1.0,0.0
