,index,RTAMS,Model
0,BNSF,54686.0,39844.36924547143
1,ME,29313.0,75008.04246902978
2,HC,2421.0,13656.464913845062
3,MD-N,23257.0,14654.336705982685
4,MD-W,21721.0,9780.655804112554
5,NCS,6416.0,3171.495874285698
6,RI,27649.0,33222.44609545171
7,SWS,9066.0,10025.426932096481
8,UP-N,28181.0,65080.376957803965
9,UP-NW,35982.0,41773.947230130434
10,UP-W,27196.0,10089.592216044664
Total,,265888.0,316307.15444425447
