Index,Boardings,order
Red Line,352785.658,1
Blue Line,234014.9433,2
Brown Line,76141.26227,3
ME,75008.04247,4
UP-N,65080.37696,5
Green Line,50090.9476,6
Orange Line,44209.02913,7
UP-NW,41773.94723,8
BNSF,39844.36925,9
RI,33222.4461,10
Pink Line,27861.22406,11
MD-N,14654.33671,12
HC,13656.46491,13
UP-W,10089.59222,14
SWS,10025.42693,15
MD-W,9780.655804,16
Purple Line,7480.365033,17
Yellow Line,4905,18
NCS,3171.495874,19
