root,node,count,Category,color
DuPage,South Cook,1709376.861,Survey,#9aaf3e
DuPage,West Chicago,722783.1653,Survey,#9aaf3e
DuPage,West Cook,9315853.237,Survey,#9aaf3e
DuPage,Will,20434466.01,Survey,#9aaf3e
DuPage,DuPage,2325715,Model,#9aaf3e
DuPage,IL,13550,Model,#9aaf3e
DuPage,IN,1755,Model,#9aaf3e
DuPage,Kane,153100,Model,#9aaf3e
DuPage,Kendall,29120,Model,#9aaf3e
DuPage,CBD,15165,Model,#9aaf3e
DuPage,Lake,12855,Model,#9aaf3e
DuPage,McHenry,8825,Model,#9aaf3e
DuPage,North Chicago,44055,Model,#9aaf3e
DuPage,North Cook,89885,Model,#9aaf3e
DuPage,South Chicago,13330,Model,#9aaf3e
DuPage,South Cook,32510,Model,#9aaf3e
DuPage,WI,1075,Model,#9aaf3e
DuPage,West Chicago,22925,Model,#9aaf3e
DuPage,West Cook,314635,Model,#9aaf3e
DuPage,Will,180300,Model,#9aaf3e
IL,DuPage,2203130.453,Survey,#726cd7
IL,IL,517425607.6,Survey,#726cd8
IL,IN,0,Survey,#726cd9
IL,Kane,76937.50616,Survey,#726cd10
IL,Kendall,2179196.936,Survey,#726cd11
IL,CBD,49087.63807,Survey,#726cd12
IL,Lake,3425.679936,Survey,#726cd13
IL,McHenry,11417.1042,Survey,#726cd14
IL,North Chicago,1640.111036,Survey,#726cd15
IL,North Cook,1296.733956,Survey,#726cd16
IL,South Chicago,181.9309619,Survey,#726cd17
IL,South Cook,2801903.824,Survey,#726cd18
IL,West Chicago,1348.524192,Survey,#726cd19
IL,West Cook,926603.2085,Survey,#726cd20
IL,Will,36984754.73,Survey,#726cd21
IL,DuPage,13395,Model,#726cd22
IL,IL,1954900,Model,#726cd23
IL,IN,4385,Model,#726cd24
IL,Kane,27470,Model,#726cd25
IL,Kendall,12335,Model,#726cd26
IL,CBD,580,Model,#726cd27
IL,Lake,2405,Model,#726cd28
IL,McHenry,18735,Model,#726cd29
IL,North Chicago,2120,Model,#726cd30
IL,North Cook,3375,Model,#726cd31
IL,South Chicago,2620,Model,#726cd32
IL,South Cook,10045,Model,#726cd33
IL,WI,3475,Model,#726cd34
IL,West Chicago,1255,Model,#726cd35
IL,West Cook,5340,Model,#726cd36
IL,Will,36820,Model,#726cd37
IN,DuPage,10302.6679,Survey,#5bbc73
IN,IL,0,Survey,#5bbc74
IN,IN,21894.57552,Survey,#5bbc75
IN,Kane,3104.328764,Survey,#5bbc76
IN,CBD,1487.500684,Survey,#5bbc77
IN,Lake,11963.6944,Survey,#5bbc78
IN,North Chicago,6688.731057,Survey,#5bbc79
