# Veh,1,2,3,4+,Total
0,226035,64987,27447,41528,359997
1,592180,294739,124888,181148,1192956
2,121173,610477,247013,530411,1509074
3,8455,86369,158320,209633,462777
4,3734,21744,36710,100565,162752
Total,951578,1078315,594378,1063285,36875567
