Index, Model 01 , Survey 01 ,Category,Description,Title
Discretionary,42595,58739,25-30 Miles,discretionary 25-30 Miles,25-30 Miles
Work-based,42520,51392,20-25 Miles,work-based 20-25 Miles,20-25 Miles
Shop,42480,35008,25-30 Miles,shop 25-30 Miles,25-30 Miles
University,41080,45982,Less than 2.5 Mile,university Less than 2.5 Mile,Less than 2.5 Mile
Escort,39360,45696,25-30 Miles,escort 25-30 Miles,25-30 Miles
University,37685,24887,15-20 Miles,university 15-20 Miles,15-20 Miles
Visiting,36850,29319,25-30 Miles,visiting 25-30 Miles,25-30 Miles
Maintenance,35535,82315,25-30 Miles,maintenance 25-30 Miles,25-30 Miles
School,28870,36885,15-20 Miles,school 15-20 Miles,15-20 Miles
Work-based,27700,76202,30 Miles or More,work-based 30 Miles or More,30 Miles or More
Eating Out,26455,27598,25-30 Miles,eatingout 25-30 Miles,25-30 Miles
School,24680,40219,30 Miles or More,school 30 Miles or More,30 Miles or More
Work-based,23170,39241,25-30 Miles,work-based 25-30 Miles,25-30 Miles
University,21590,20363,20-25 Miles,university 20-25 Miles,20-25 Miles
University,21470,24475,30 Miles or More,university 30 Miles or More,30 Miles or More
School,17850,28305,20-25 Miles,school 20-25 Miles,20-25 Miles
University,13615,13622,25-30 Miles,university 25-30 Miles,25-30 Miles
School,11800,22427,25-30 Miles,school 25-30 Miles,25-30 Miles
