Index,Full_time_worker,Part_time_worker,Non-working adult,Non-working senior,Preschool,Non-driving student,Driving age student,University_student
Modeled,3453525,981075,1790895,830250,813935,1489955,397245,483380
Observed,4465590,610086,1053503,913450,837581,1482714,357284,330886
