Index,Work,Shop,Maintenance,Escort,Discretionary,Eating_out,School,Visiting,Work_based,University
Modeled,5940075,5853935,4217855,3767495,3413480,2672310,2436550,1958215,1158190,394485
Observed,5585900,5555766,4689505,4068983,3376778,2535581,2490702,2019572,961855,331385
