Index,Model 01,Survey 01,Category,Description,Title,Portion
Drive alone pay,17680,10215,Discretionary,discretionary Drive alone pay trips,Discretionary,10.7%
Bike,17385,3905,University,university Bike trips,University,1.2%
Taxi,17180,17676,Maintenance,maintenance Taxi trips,Maintenance,13.3%
Bike,16160,11713,Eating Out,eatingout Bike trips,Eating Out,7.6%
Shared ride 3+ free,15995,20244,Work-based,work-based Shared ride 3+ free trips,Work-based,3.6%
Drive alone pay,14845,22556,Visiting,visiting Drive alone pay trips,Visiting,6.2%
Shared ride 3+ pay,14825,3865,Discretionary,discretionary Shared ride 3+ pay trips,Discretionary,10.7%
Shared ride 3+ free,13140,3798,University,university Shared ride 3+ free trips,University,1.2%
Drive alone pay,11980,13264,Eating Out,eatingout Drive alone pay trips,Eating Out,7.6%
Shared ride 3+ pay,11225,3653,Visiting,visiting Shared ride 3+ pay trips,Visiting,6.2%
Taxi,9870,7118,Shop,shop Taxi trips,Shop,18.4%
Taxi,8445,6991,Work-based,work-based Taxi trips,Work-based,3.6%
Shared ride 3+ pay,7635,3639,Shop,shop Shared ride 3+ pay trips,Shop,18.4%
Shared ride 3+ pay,7625,4382,Escort,escort Shared ride 3+ pay trips,Escort,11.8%
Shared ride 2 pay,7285,3761,Maintenance,maintenance Shared ride 2 pay trips,Maintenance,13.3%
Shared ride 3+ pay,7260,3056,Eating Out,eatingout Shared ride 3+ pay trips,Eating Out,7.6%
Taxi,6970,1248,Escort,escort Taxi trips,Escort,11.8%
Shared ride 3+ pay,6845,1416,Maintenance,maintenance Shared ride 3+ pay trips,Maintenance,13.3%
Bike,6825,4596,Work-based,work-based Bike trips,Work-based,3.6%
Shared ride 2 pay,5905,13985,Work,work Shared ride 2 pay trips,Work,18.7%
Drive alone pay,5870,11873,University,university Drive alone pay trips,University,1.2%
Taxi,5330,7592,Eating Out,eatingout Taxi trips,Eating Out,7.6%
Shared ride 2 pay,5100,2112,Shop,shop Shared ride 2 pay trips,Shop,18.4%
Shared ride 2 pay,5035,6856,Discretionary,discretionary Shared ride 2 pay trips,Discretionary,10.7%
Taxi,4920,7342,Discretionary,discretionary Taxi trips,Discretionary,10.7%
Shared ride 2 pay,4375,7271,Escort,escort Shared ride 2 pay trips,Escort,11.8%
Shared ride 2 pay,4130,5205,Visiting,visiting Shared ride 2 pay trips,Visiting,6.2%
Shared ride 2 pay,3365,2507,Eating Out,eatingout Shared ride 2 pay trips,Eating Out,7.6%
Shared ride 3+ pay,3305,547,Work,work Shared ride 3+ pay trips,Work,18.7%
Taxi,2890,7618,Visiting,visiting Taxi trips,Visiting,6.2%
Shared ride 3+ pay,2350,0,School,school Shared ride 3+ pay trips,School,8.4%
Shared ride 2 pay,2140,0,School,school Shared ride 2 pay trips,School,8.4%
Shared ride 2 pay,2095,23,University,university Shared ride 2 pay trips,University,1.2%
Shared ride 2 pay,1010,1268,Work-based,work-based Shared ride 2 pay trips,Work-based,3.6%
Shared ride 3+ pay,925,0,University,university Shared ride 3+ pay trips,University,1.2%
Drive alone pay,885,0,School,school Drive alone pay trips,School,8.4%
Taxi,875,1607,School,school Taxi trips,School,8.4%
Shared ride 3+ pay,515,0,Work-based,work-based Shared ride 3+ pay trips,Work-based,3.6%
School bus,0,0,Discretionary,discretionary School bus trips,Discretionary,10.7%
School bus,0,0,Eating Out,eatingout School bus trips,Eating Out,7.6%
School bus,0,0,Escort,escort School bus trips,Escort,11.8%
School bus,0,0,Maintenance,maintenance School bus trips,Maintenance,13.3%
School bus,0,0,Shop,shop School bus trips,Shop,18.4%
School bus,0,0,University,university School bus trips,University,1.2%
School bus,0,0,Visiting,visiting School bus trips,Visiting,6.2%
School bus,0,0,Work,work School bus trips,Work,18.7%
School bus,0,0,Work-based,work-based School bus trips,Work-based,3.6%
