Origin,Cook County,DuPage County,Kane County,Kendall County,Lake County,McHenry County,Will County,External Area,Total
Cook County,2180905,96115,6740,10,30730,495,16725,22300,2354020
DuPage County,106485,336320,11295,530,1030,100,6445,90,462295
Kane County,41965,53995,133020,2545,2935,4195,1925,2155,242735
Kendall County,2760,17610,11930,16760,15,10,5975,2080,57140
Lake County,80210,2480,640,0,232895,4635,0,8860,329720
McHenry County,30750,3295,14025,5,24965,70370,0,6860,150270
Will County,70685,75875,5335,2150,55,5,154580,10210,318895
External Area,58705,5060,13890,3135,27980,17525,14115,745680,886090
Total,2572465,590750,196875,25135,320605,97335,199765,798235,4801165
