Index, Model , Survey ,Category,Description,Title
Red Line,298531.6053,299672,Red Line,Red Line,Red Line boardings
Blue Line,162721.9635,188167,Blue Line,Blue Line,Blue Line boardings
Brown Line,72119.31324,95553,Brown Line,Brown Line,Brown Line boardings
Green Line,94030.17231,57240,Green Line,Green Line,Green Line boardings
Orange Line,86278.39397,54573,Orange Line,Orange Line,Orange Line boardings
Pink Line,53677.38563,40153,Pink Line,Pink Line,Pink Line boardings
Purple Line,22257.13195,30421,Purple Line,Purple Line,Purple Line boardings
Yellow Line,8025.899479,1953,Yellow Line,Yellow Line,Yellow Line boardings
