Vrange,Number of Links,Observed VMT,Model VMT,Percent Diff
0,9597,13848413.46,33026670.3,1.384870324
10000,9740,40120845.9,58933410.33,0.468897502
20000,1478,12277214.43,15238304.72,0.241185841
30000,95,1046839.001,1085300.954,0.036741039
Total,20910,67293312.8,108283686.3,0.609129968
