cat,subgroup,value,xaxis,hours
discretionary,Model-Arrive,0.0016060644995503019,1,03:00 AM to 05:00 AM
escort,Model-Arrive,0.0007953314531632722,1,03:00 AM to 05:00 AM
maintenance,Model-Arrive,0.0007199693311765421,1,03:00 AM to 05:00 AM
school,Model-Arrive,0.00011560884572825314,1,03:00 AM to 05:00 AM
university,Model-Arrive,0.0004202232435981615,1,03:00 AM to 05:00 AM
work,Model-Arrive,5.841044729260276e-06,1,03:00 AM to 05:00 AM
discretionary,Model-Arrive,0.004347081245449484,2,05:00 AM to 05:30 AM
escort,Model-Arrive,0.002932479775160286,2,05:00 AM to 05:30 AM
maintenance,Model-Arrive,0.002022770978067428,2,05:00 AM to 05:30 AM
school,Model-Arrive,0.00012551817536210342,2,05:00 AM to 05:30 AM
work,Model-Arrive,1.460261182315069e-06,2,05:00 AM to 05:30 AM
work-based,Model-Arrive,1.2157167866173895e-05,2,05:00 AM to 05:30 AM
discretionary,Model-Arrive,0.010921238596942053,3,05:30 AM to 06:00 AM
escort,Model-Arrive,0.005459974822636207,3,05:30 AM to 06:00 AM
maintenance,Model-Arrive,0.0042076129744083625,3,05:30 AM to 06:00 AM
school,Model-Arrive,0.0002345208013344564,3,05:30 AM to 06:00 AM
work,Model-Arrive,1.0221828276205481e-05,3,05:30 AM to 06:00 AM
work-based,Model-Arrive,0.00014588601439408674,3,05:30 AM to 06:00 AM
discretionary,Model-Arrive,0.020989478493011835,4,06:00 AM to 06:30 AM
escort,Model-Arrive,0.00843636860441287,4,06:00 AM to 06:30 AM
maintenance,Model-Arrive,0.00803809915629568,4,06:00 AM to 06:30 AM
school,Model-Arrive,0.00022461147170060611,4,06:00 AM to 06:30 AM
work,Model-Arrive,1.314235064083562e-05,4,06:00 AM to 06:30 AM
work-based,Model-Arrive,0.0002674576930558257,4,06:00 AM to 06:30 AM
discretionary,Model-Arrive,0.02872000228418062,5,06:30 AM to 07:00 AM
escort,Model-Arrive,0.01339865135206347,5,06:30 AM to 07:00 AM
maintenance,Model-Arrive,0.012382849146166242,5,06:30 AM to 07:00 AM
school,Model-Arrive,0.0007531090521726206,5,06:30 AM to 07:00 AM
university,Model-Arrive,5.252790544977019e-05,5,06:30 AM to 07:00 AM
work,Model-Arrive,3.796679074019179e-05,5,06:30 AM to 07:00 AM
work-based,Model-Arrive,0.0003768722038513908,5,06:30 AM to 07:00 AM
discretionary,Model-Arrive,0.02929818550401873,6,07:00 AM to 07:30 AM
escort,Model-Arrive,0.02501634576912943,6,07:00 AM to 07:30 AM
maintenance,Model-Arrive,0.013891356316250424,6,07:00 AM to 07:30 AM
school,Model-Arrive,0.001430246577152389,6,07:00 AM to 07:30 AM
university,Model-Arrive,0.0001313197636244255,6,07:00 AM to 07:30 AM
work,Model-Arrive,7.447332029806851e-05,6,07:00 AM to 07:30 AM
work-based,Model-Arrive,0.0011063022758218246,6,07:00 AM to 07:30 AM
discretionary,Model-Arrive,0.02625023198709438,7,07:30 AM to 08:00 AM
escort,Model-Arrive,0.04124989021498346,7,07:30 AM to 08:00 AM
maintenance,Model-Arrive,0.013838371560276393,7,07:30 AM to 08:00 AM
school,Model-Arrive,0.0019224099489669525,7,07:30 AM to 08:00 AM
university,Model-Arrive,0.00023637557452396585,7,07:30 AM to 08:00 AM
work,Model-Arrive,0.00015186716296076717,7,07:30 AM to 08:00 AM
work-based,Model-Arrive,0.0020667185372495625,7,07:30 AM to 08:00 AM
discretionary,Model-Arrive,0.02362342427227433,8,08:00 AM to 08:30 AM
escort,Model-Arrive,0.06361675758492481,8,08:00 AM to 08:30 AM
maintenance,Model-Arrive,0.013701234544814195,8,08:00 AM to 08:30 AM
school,Model-Arrive,0.0028505838246709277,8,08:00 AM to 08:30 AM
university,Model-Arrive,0.00028890347997373607,8,08:00 AM to 08:30 AM
work,Model-Arrive,0.0002862111917337535,8,08:00 AM to 08:30 AM
work-based,Model-Arrive,0.004255008753160864,8,08:00 AM to 08:30 AM
discretionary,Model-Arrive,0.015635930161177494,9,08:30 AM to 09:00 AM
escort,Model-Arrive,0.05738584797946776,9,08:30 AM to 09:00 AM
maintenance,Model-Arrive,0.014944817935028222,9,08:30 AM to 09:00 AM
school,Model-Arrive,0.002744884308576525,9,08:30 AM to 09:00 AM
university,Model-Arrive,0.0004727511490479317,9,08:30 AM to 09:00 AM
work,Model-Arrive,0.00040449234750127407,9,08:30 AM to 09:00 AM
work-based,Model-Arrive,0.006917428515852947,9,08:30 AM to 09:00 AM
discretionary,Model-Arrive,0.016870815309720615,10,09:00 AM to 09:30 AM
escort,Model-Arrive,0.04808583724493281,10,09:00 AM to 09:30 AM
maintenance,Model-Arrive,0.019333202429818574,10,09:00 AM to 09:30 AM
school,Model-Arrive,0.0024476044195610165,10,09:00 AM to 09:30 AM
university,Model-Arrive,0.001917268548916612,10,09:00 AM to 09:30 AM
work,Model-Arrive,0.0005622005551913015,10,09:00 AM to 09:30 AM
