res_gs,work_gs,Residence,Workplace,FREQUENCY,SUM_Walked,SUM_Bicycle,SUM_Car_truck_or_van_Drove_alone,SUM_Car_truck_or_van_In_a_2_person_carpool,SUM_Car_truck_or_van_In_a_3_person_carpool,SUM_Car_truck_or_van_In_a_4_person_carpool,SUM_Car_truck_or_van_In_a_5_or_6_person_carpool,SUM_Car_truck_or_van_In_a_7_or_more_person_carpool,SUM_Motorcycle,SUM_Taxicab,SUM_Bus_or_trolley_bus,SUM_Subway_or_elevated,SUM_Railroad,SUM_Streetcar_or_trolley_car,SUM_Ferryboat,SUM_Other_method,SUM_Worked_at_home,,SUM_Total_means_of_transportation
gs02,gs23,Inner North,External Illinois,16,0,0,221,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,231
gs02,gs24,Inner North,External Indiana,5,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44
gs02,gs25,Inner North,External Wisconsin,12,10,0,127,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,142
gs03,gs01,Inner Northwest,Central,2276,281,1183,19443,2571,395,161,25,45,58,108,4112,14411,4734,102,4,212,0,,48147
gs03,gs02,Inner Northwest,Inner North,1767,334,339,17932,2167,415,92,22,75,4,19,2259,462,141,0,4,60,0,,24339
gs03,gs03,Inner Northwest,Inner Northwest,2398,3301,769,35497,3825,438,209,109,95,0,94,2581,1713,142,4,0,396,10528,,59815
gs03,gs04,Inner Northwest,Inner South,333,54,44,2719,238,36,14,0,4,0,0,314,331,49,0,0,29,0,,3813
gs03,gs05,Inner Northwest,Inner Southwest,288,60,44,2653,185,30,8,24,0,0,19,77,155,34,0,0,84,0,,3374
gs03,gs06,Inner Northwest,Inner West,525,67,63,5232,436,103,30,10,35,0,0,447,161,80,10,0,79,0,,6758
gs03,gs07,Inner Northwest,Inner Upper West,558,169,32,6054,595,58,20,64,20,0,10,980,139,0,0,0,80,0,,8214
gs03,gs08,Inner Northwest,Inner Lower West,259,58,24,2350,220,38,0,15,0,10,10,121,19,0,0,0,14,0,,2880
gs03,gs09,Inner Northwest,Northwest Indiana,14,0,0,119,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,123
gs03,gs10,Inner Northwest,Middle North,457,4,30,5938,369,99,74,10,0,0,0,38,54,104,0,0,78,0,,6781
gs03,gs11,Inner Northwest,Middle Northwest,721,84,26,9036,770,193,44,14,4,0,70,216,89,114,4,0,43,0,,10719
gs03,gs12,Inner Northwest,Middle/Outer South,61,4,10,616,59,35,25,0,0,0,0,0,0,10,0,0,10,0,,769
gs03,gs13,Inner Northwest,Middle Southwest,117,10,4,1222,112,30,0,0,0,4,0,30,15,0,0,0,0,0,,1428
gs03,gs14,Inner Northwest,Middle West,253,70,0,2589,149,10,4,4,0,0,20,34,74,4,0,0,10,0,,2966
gs03,gs15,Inner Northwest,Middle Upper West,558,0,34,7430,541,95,79,0,25,4,4,69,118,18,0,0,10,0,,8444
gs03,gs16,Inner Northwest,Middle Lower West,270,10,14,2903,164,29,35,0,0,0,0,8,59,24,0,0,10,0,,3257
gs03,gs17,Inner Northwest,Outer North,184,0,4,2038,208,0,0,0,4,0,0,0,60,77,0,0,0,0,,2401
gs03,gs18,Inner Northwest,Outer Northwest,314,25,23,3923,351,90,4,0,0,20,0,50,55,67,0,4,43,0,,4642
gs03,gs19,Inner Northwest,Outer Southwest,48,0,0,495,14,0,0,4,0,0,0,10,45,0,0,0,0,0,,568
gs03,gs20,Inner Northwest,Outer West,16,0,0,153,20,0,10,0,0,0,0,0,0,0,0,0,0,0,,183
gs03,gs21,Inner Northwest,Outer Upper West,31,0,0,224,59,28,0,0,0,0,0,4,0,0,0,0,0,0,,315
gs03,gs22,Inner Northwest,Outer Lower West,20,24,0,191,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,219
gs03,gs23,Inner Northwest,External Illinois,9,0,0,89,4,0,0,0,0,0,0,0,0,0,0,0,4,0,,97
gs03,gs24,Inner Northwest,External Indiana,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35
gs03,gs25,Inner Northwest,External Wisconsin,7,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,78
gs04,gs01,Inner South,Central,3133,719,247,28689,3602,503,114,81,19,19,101,17243,8286,7096,321,25,473,0,,67837
gs04,gs02,Inner South,Inner North,759,228,72,5901,608,127,20,45,30,0,35,1475,745,231,40,0,64,0,,9626
gs04,gs03,Inner South,Inner Northwest,519,113,18,4648,412,36,0,16,0,0,14,964,868,309,0,0,12,0,,7418
gs04,gs04,Inner South,Inner South,4201,8080,994,43516,5021,729,121,153,53,44,163,11199,447,329,90,0,582,10234,,81861
gs04,gs05,Inner South,Inner Southwest,1148,282,88,12191,1266,264,109,65,0,0,40,2755,39,88,55,0,114,0,,17346
