cat,subgroup,value,xaxis,hours
all,Model-Depart,127125,22,3:00 PM
all,Model-Depart,139035,23,3:30 PM
all,Model-Depart,158185,24,4:00 PM
all,Model-Depart,164170,25,4:30 PM
all,Model-Depart,218625,26,5:00 PM
all,Model-Depart,258725,27,5:30 PM
all,Model-Depart,226140,28,6:00 PM
all,Model-Depart,273235,29,6:30 PM
all,Model-Depart,187570,30,7:00 PM
all,Model-Depart,106875,31,7:30 PM
all,Model-Depart,81005,32,8:00 PM
all,Model-Depart,60240,33,8:30 PM
all,Model-Depart,44880,34,9:00 PM
all,Model-Depart,31835,35,9:30 PM
all,Model-Depart,26210,36,10:00 PM
all,Model-Depart,20185,37,10:30 PM
all,Model-Depart,13970,38,11:00 PM
all,Model-Depart,9165,39,11:30 PM
all,Model-Depart,6480,40,12:00 PM
work,Survey-Arrive,336.8999762,1,3:00 AM
work,Survey-Arrive,0,2,5:00 AM
work,Survey-Arrive,117.4450479,3,5:30 AM
work,Survey-Arrive,362.7295673,4,6:00 AM
work,Survey-Arrive,508.359385,5,6:30 AM
work,Survey-Arrive,1087.506843,6,7:00 AM
work,Survey-Arrive,392.9179106,7,7:30 AM
work,Survey-Arrive,1216.05342,8,8:00 AM
work,Survey-Arrive,3919.697763,9,8:30 AM
work,Survey-Arrive,4278.056841,10,9:00 AM
work,Survey-Arrive,4860.765074,11,9:30 AM
work,Survey-Arrive,6177.99977,12,10:00 AM
work,Survey-Arrive,7710.563865,13,10:30 AM
work,Survey-Arrive,15380.75504,14,11:00 AM
work,Survey-Arrive,19975.68087,15,11:30 AM
work,Survey-Arrive,34311.84478,16,12:00 PM
work,Survey-Arrive,31790.79595,17,12:30 PM
work,Survey-Arrive,37621.41167,18,1:00 PM
work,Survey-Arrive,33488.31043,19,1:30 PM
work,Survey-Arrive,41874.71905,20,2:00 PM
work,Survey-Arrive,75705.88243,21,2:30 PM
work,Survey-Arrive,106051.3664,22,3:00 PM
work,Survey-Arrive,166508.675,23,3:30 PM
work,Survey-Arrive,202581.9747,24,4:00 PM
work,Survey-Arrive,224411.9449,25,4:30 PM
work,Survey-Arrive,332139.1655,26,5:00 PM
work,Survey-Arrive,324898.9383,27,5:30 PM
work,Survey-Arrive,303887.1726,28,6:00 PM
work,Survey-Arrive,241053.0468,29,6:30 PM
work,Survey-Arrive,164768.7037,30,7:00 PM
work,Survey-Arrive,92917.84478,31,7:30 PM
work,Survey-Arrive,85315.53177,32,8:00 PM
work,Survey-Arrive,67932.37732,33,8:30 PM
work,Survey-Arrive,62884.87732,34,9:00 PM
work,Survey-Arrive,48696.15641,35,9:30 PM
work,Survey-Arrive,52997.72005,36,10:00 PM
work,Survey-Arrive,48245.75725,37,10:30 PM
work,Survey-Arrive,38833.09332,38,11:00 PM
work,Survey-Arrive,31203.5653,39,11:30 PM
work,Survey-Arrive,80792.43408,40,12:00 PM
university,Survey-Arrive,0,1,3:00 AM
university,Survey-Arrive,0,2,5:00 AM
university,Survey-Arrive,0,3,5:30 AM
university,Survey-Arrive,0,4,6:00 AM
university,Survey-Arrive,0,5,6:30 AM
university,Survey-Arrive,0,6,7:00 AM
university,Survey-Arrive,0,7,7:30 AM
university,Survey-Arrive,0,8,8:00 AM
university,Survey-Arrive,0,9,8:30 AM
university,Survey-Arrive,0,10,9:00 AM
university,Survey-Arrive,1121.157633,11,9:30 AM
university,Survey-Arrive,1104.047188,12,10:00 AM
university,Survey-Arrive,2330.071868,13,10:30 AM
university,Survey-Arrive,3860.228632,14,11:00 AM
university,Survey-Arrive,2771.085422,15,11:30 AM
university,Survey-Arrive,3404.853376,16,12:00 PM
university,Survey-Arrive,5661.266382,17,12:30 PM
university,Survey-Arrive,3759.337647,18,1:00 PM
university,Survey-Arrive,1459.816064,19,1:30 PM
university,Survey-Arrive,6001.017778,20,2:00 PM
university,Survey-Arrive,8315.603474,21,2:30 PM
university,Survey-Arrive,4599.299889,22,3:00 PM
university,Survey-Arrive,13076.94897,23,3:30 PM
university,Survey-Arrive,6417.830397,24,4:00 PM
university,Survey-Arrive,10109.93671,25,4:30 PM
university,Survey-Arrive,6338.538887,26,5:00 PM
university,Survey-Arrive,4731.706217,27,5:30 PM
university,Survey-Arrive,9650.101724,28,6:00 PM
university,Survey-Arrive,5137.412583,29,6:30 PM
university,Survey-Arrive,3546.166342,30,7:00 PM
university,Survey-Arrive,2051.005351,31,7:30 PM
university,Survey-Arrive,2493.390379,32,8:00 PM
university,Survey-Arrive,2591.910759,33,8:30 PM
university,Survey-Arrive,5194.640921,34,9:00 PM
university,Survey-Arrive,4617.879163,35,9:30 PM
university,Survey-Arrive,6077.735126,36,10:00 PM
university,Survey-Arrive,2250.609316,37,10:30 PM
university,Survey-Arrive,1536.157167,38,11:00 PM
university,Survey-Arrive,286.1985084,39,11:30 PM
university,Survey-Arrive,423.3358533,40,12:00 PM
school,Survey-Arrive,0,1,3:00 AM
school,Survey-Arrive,0,2,5:00 AM
school,Survey-Arrive,0,3,5:30 AM
school,Survey-Arrive,0,4,6:00 AM
school,Survey-Arrive,0,5,6:30 AM
school,Survey-Arrive,0,6,7:00 AM
school,Survey-Arrive,0,7,7:30 AM
school,Survey-Arrive,244.2698714,8,8:00 AM
school,Survey-Arrive,0,9,8:30 AM
school,Survey-Arrive,360.4782384,10,9:00 AM
school,Survey-Arrive,167.146405,11,9:30 AM
school,Survey-Arrive,1748.337886,12,10:00 AM
school,Survey-Arrive,2003.577269,13,10:30 AM
school,Survey-Arrive,19792.32109,14,11:00 AM
school,Survey-Arrive,22180.02659,15,11:30 AM
school,Survey-Arrive,29485.95938,16,12:00 PM
school,Survey-Arrive,10320.8771,17,12:30 PM
school,Survey-Arrive,11867.8252,18,1:00 PM
school,Survey-Arrive,15169.6097,19,1:30 PM
school,Survey-Arrive,45873.34038,20,2:00 PM
school,Survey-Arrive,172023.1137,21,2:30 PM
school,Survey-Arrive,303585.3282,22,3:00 PM
school,Survey-Arrive,269655.5146,23,3:30 PM
school,Survey-Arrive,123318.3499,24,4:00 PM
school,Survey-Arrive,62895.54568,25,4:30 PM
school,Survey-Arrive,58552.08576,26,5:00 PM
school,Survey-Arrive,66588.12146,27,5:30 PM
school,Survey-Arrive,43396.05035,28,6:00 PM
school,Survey-Arrive,25057.82873,29,6:30 PM
school,Survey-Arrive,13190.24905,30,7:00 PM
school,Survey-Arrive,8115.054115,31,7:30 PM
school,Survey-Arrive,9061.103834,32,8:00 PM
school,Survey-Arrive,8360.235231,33,8:30 PM
school,Survey-Arrive,6739.330422,34,9:00 PM
school,Survey-Arrive,3782.095166,35,9:30 PM
school,Survey-Arrive,5372.205064,36,10:00 PM
school,Survey-Arrive,2321.083739,37,10:30 PM
school,Survey-Arrive,328.6292443,38,11:00 PM
school,Survey-Arrive,537.7035957,39,11:30 PM
school,Survey-Arrive,186.168,40,12:00 PM
escort,Survey-Arrive,1568.048785,1,3:00 AM
escort,Survey-Arrive,134.8734024,2,5:00 AM
escort,Survey-Arrive,915.2197834,3,5:30 AM
escort,Survey-Arrive,3209.7687,4,6:00 AM
escort,Survey-Arrive,9682.282894,5,6:30 AM
escort,Survey-Arrive,26577.61863,6,7:00 AM
escort,Survey-Arrive,47409.03303,7,7:30 AM
escort,Survey-Arrive,96454.59139,8,8:00 AM
escort,Survey-Arrive,71830.31373,9,8:30 AM
escort,Survey-Arrive,76543.95191,10,9:00 AM
escort,Survey-Arrive,22939.19557,11,9:30 AM
escort,Survey-Arrive,11697.77458,12,10:00 AM
escort,Survey-Arrive,10726.39276,13,10:30 AM
escort,Survey-Arrive,27047.69514,14,11:00 AM
escort,Survey-Arrive,41442.43029,15,11:30 AM
escort,Survey-Arrive,38296.47698,16,12:00 PM
escort,Survey-Arrive,27419.45634,17,12:30 PM
escort,Survey-Arrive,16775.57809,18,1:00 PM
escort,Survey-Arrive,12017.88597,19,1:30 PM
escort,Survey-Arrive,22178.2673,20,2:00 PM
escort,Survey-Arrive,55807.88417,21,2:30 PM
escort,Survey-Arrive,80850.71755,22,3:00 PM
escort,Survey-Arrive,48496.62005,23,3:30 PM
escort,Survey-Arrive,34009.23763,24,4:00 PM
escort,Survey-Arrive,35699.90078,25,4:30 PM
escort,Survey-Arrive,38883.98301,26,5:00 PM
escort,Survey-Arrive,39787.24008,27,5:30 PM
escort,Survey-Arrive,57819.98046,28,6:00 PM
escort,Survey-Arrive,30124.45517,29,6:30 PM
escort,Survey-Arrive,26565.29318,30,7:00 PM
escort,Survey-Arrive,12490.89467,31,7:30 PM
escort,Survey-Arrive,18327.24026,32,8:00 PM
escort,Survey-Arrive,17656.51156,33,8:30 PM
escort,Survey-Arrive,15959.01286,34,9:00 PM
escort,Survey-Arrive,10135.74531,35,9:30 PM
escort,Survey-Arrive,6454.467914,36,10:00 PM
escort,Survey-Arrive,12004.50343,37,10:30 PM
escort,Survey-Arrive,8802.021418,38,11:00 PM
escort,Survey-Arrive,4227.364735,39,11:30 PM
escort,Survey-Arrive,3323.992388,40,12:00 PM
work-based,Survey-Arrive,0,1,3:00 AM
work-based,Survey-Arrive,0,2,5:00 AM
work-based,Survey-Arrive,0,3,5:30 AM
work-based,Survey-Arrive,0,4,6:00 AM
work-based,Survey-Arrive,336.8999762,5,6:30 AM
work-based,Survey-Arrive,0,6,7:00 AM
work-based,Survey-Arrive,0,7,7:30 AM
work-based,Survey-Arrive,2512.724031,8,8:00 AM
work-based,Survey-Arrive,3955.650167,9,8:30 AM
work-based,Survey-Arrive,3069.327304,10,9:00 AM
work-based,Survey-Arrive,3592.011279,11,9:30 AM
work-based,Survey-Arrive,7153.443235,12,10:00 AM
work-based,Survey-Arrive,5447.097978,13,10:30 AM
work-based,Survey-Arrive,7453.366883,14,11:00 AM
work-based,Survey-Arrive,19153.10389,15,11:30 AM
work-based,Survey-Arrive,33268.78693,16,12:00 PM
work-based,Survey-Arrive,69822.73319,17,12:30 PM
work-based,Survey-Arrive,70233.5602,18,1:00 PM
work-based,Survey-Arrive,50429.51313,19,1:30 PM
work-based,Survey-Arrive,32312.17413,20,2:00 PM
work-based,Survey-Arrive,15140.27159,21,2:30 PM
work-based,Survey-Arrive,16699.56183,22,3:00 PM
work-based,Survey-Arrive,10321.35481,23,3:30 PM
work-based,Survey-Arrive,7894.910675,24,4:00 PM
work-based,Survey-Arrive,4923.906626,25,4:30 PM
work-based,Survey-Arrive,4013.786294,26,5:00 PM
work-based,Survey-Arrive,4428.43914,27,5:30 PM
work-based,Survey-Arrive,4293.458933,28,6:00 PM
work-based,Survey-Arrive,1331.204266,29,6:30 PM
work-based,Survey-Arrive,2946.428006,30,7:00 PM
work-based,Survey-Arrive,3382.9216,31,7:30 PM
work-based,Survey-Arrive,730.3561416,32,8:00 PM
work-based,Survey-Arrive,677.2947961,33,8:30 PM
work-based,Survey-Arrive,1346.067579,34,9:00 PM
work-based,Survey-Arrive,109.6851796,35,9:30 PM
work-based,Survey-Arrive,134.7990937,36,10:00 PM
work-based,Survey-Arrive,0,37,10:30 PM
work-based,Survey-Arrive,0,38,11:00 PM
work-based,Survey-Arrive,190.9671183,39,11:30 PM
work-based,Survey-Arrive,194.6769806,40,12:00 PM
maintenance,Survey-Arrive,1082.889472,1,3:00 AM
maintenance,Survey-Arrive,75.30184,2,5:00 AM
maintenance,Survey-Arrive,440.3163876,3,5:30 AM
maintenance,Survey-Arrive,802.5574176,4,6:00 AM
maintenance,Survey-Arrive,2262.297175,5,6:30 AM
maintenance,Survey-Arrive,6592.292974,6,7:00 AM
maintenance,Survey-Arrive,8893.835054,7,7:30 AM
maintenance,Survey-Arrive,13795.04976,8,8:00 AM
maintenance,Survey-Arrive,25213.29394,9,8:30 AM
maintenance,Survey-Arrive,30687.77539,10,9:00 AM
maintenance,Survey-Arrive,37895.38855,11,9:30 AM
maintenance,Survey-Arrive,60107.83196,12,10:00 AM
maintenance,Survey-Arrive,76292.52458,13,10:30 AM
maintenance,Survey-Arrive,90757.85859,14,11:00 AM
maintenance,Survey-Arrive,97740.70745,15,11:30 AM
maintenance,Survey-Arrive,99375.64171,16,12:00 PM
maintenance,Survey-Arrive,93591.70526,17,12:30 PM
maintenance,Survey-Arrive,88524.54164,18,1:00 PM
maintenance,Survey-Arrive,86193.61193,19,1:30 PM
maintenance,Survey-Arrive,95202.21244,20,2:00 PM
maintenance,Survey-Arrive,103456.5524,21,2:30 PM
maintenance,Survey-Arrive,114485.8344,22,3:00 PM
maintenance,Survey-Arrive,100943.4679,23,3:30 PM
maintenance,Survey-Arrive,103448.9043,24,4:00 PM
maintenance,Survey-Arrive,105915.6328,25,4:30 PM
maintenance,Survey-Arrive,95249.52545,26,5:00 PM
maintenance,Survey-Arrive,71981.34627,27,5:30 PM
maintenance,Survey-Arrive,79898.50858,28,6:00 PM
maintenance,Survey-Arrive,73598.47869,29,6:30 PM
maintenance,Survey-Arrive,78195.37263,30,7:00 PM
maintenance,Survey-Arrive,66291.49263,31,7:30 PM
maintenance,Survey-Arrive,50517.27465,32,8:00 PM
maintenance,Survey-Arrive,72232.83677,33,8:30 PM
maintenance,Survey-Arrive,52958.40386,34,9:00 PM
maintenance,Survey-Arrive,29648.52006,35,9:30 PM
maintenance,Survey-Arrive,22731.9028,36,10:00 PM
maintenance,Survey-Arrive,13020.35137,37,10:30 PM
maintenance,Survey-Arrive,7744.397354,38,11:00 PM
maintenance,Survey-Arrive,4383.607251,39,11:30 PM
maintenance,Survey-Arrive,8789.444186,40,12:00 PM
discretionary,Survey-Arrive,0,1,3:00 AM
discretionary,Survey-Arrive,393.8690322,2,5:00 AM
discretionary,Survey-Arrive,2265.630263,3,5:30 AM
discretionary,Survey-Arrive,7455.017177,4,6:00 AM
discretionary,Survey-Arrive,5785.731086,5,6:30 AM
discretionary,Survey-Arrive,9542.828503,6,7:00 AM
discretionary,Survey-Arrive,14650.21633,7,7:30 AM
discretionary,Survey-Arrive,16385.0276,8,8:00 AM
discretionary,Survey-Arrive,14707.14188,9,8:30 AM
discretionary,Survey-Arrive,21088.10085,10,9:00 AM
discretionary,Survey-Arrive,24757.98165,11,9:30 AM
discretionary,Survey-Arrive,22125.28963,12,10:00 AM
discretionary,Survey-Arrive,25569.20031,13,10:30 AM
discretionary,Survey-Arrive,32463.67053,14,11:00 AM
discretionary,Survey-Arrive,32739.24153,15,11:30 AM
discretionary,Survey-Arrive,47592.52691,16,12:00 PM
discretionary,Survey-Arrive,29661.52851,17,12:30 PM
discretionary,Survey-Arrive,44416.4922,18,1:00 PM
discretionary,Survey-Arrive,33839.99204,19,1:30 PM
discretionary,Survey-Arrive,42809.81915,20,2:00 PM
discretionary,Survey-Arrive,59771.46114,21,2:30 PM
discretionary,Survey-Arrive,57906.14399,22,3:00 PM
discretionary,Survey-Arrive,52341.91035,23,3:30 PM
discretionary,Survey-Arrive,53560.17235,24,4:00 PM
discretionary,Survey-Arrive,63939.80042,25,4:30 PM
discretionary,Survey-Arrive,70255.15565,26,5:00 PM
discretionary,Survey-Arrive,63376.52581,27,5:30 PM
discretionary,Survey-Arrive,71116.14,28,6:00 PM
discretionary,Survey-Arrive,73538.92197,29,6:30 PM
discretionary,Survey-Arrive,86129.5071,30,7:00 PM
discretionary,Survey-Arrive,72640.55478,31,7:30 PM
discretionary,Survey-Arrive,99161.5886,32,8:00 PM
discretionary,Survey-Arrive,93915.11794,33,8:30 PM
discretionary,Survey-Arrive,118605.8369,34,9:00 PM
discretionary,Survey-Arrive,76637.81845,35,9:30 PM
discretionary,Survey-Arrive,79901.76959,36,10:00 PM
discretionary,Survey-Arrive,48872.88079,37,10:30 PM
discretionary,Survey-Arrive,33622.03799,38,11:00 PM
discretionary,Survey-Arrive,28740.57277,39,11:30 PM
discretionary,Survey-Arrive,68646.87244,40,12:00 PM
all,Survey-Arrive,2987.838234,1,3:00 AM
all,Survey-Arrive,604.0442745,2,5:00 AM
all,Survey-Arrive,3738.611481,3,5:30 AM
all,Survey-Arrive,11830.07286,4,6:00 AM
all,Survey-Arrive,18575.57052,5,6:30 AM
all,Survey-Arrive,43800.24695,6,7:00 AM
all,Survey-Arrive,71346.00233,7,7:30 AM
all,Survey-Arrive,130607.7161,8,8:00 AM
all,Survey-Arrive,119626.0975,9,8:30 AM
all,Survey-Arrive,136027.6905,10,9:00 AM
all,Survey-Arrive,95333.64616,11,9:30 AM
all,Survey-Arrive,110114.7242,12,10:00 AM
all,Survey-Arrive,130079.4286,13,10:30 AM
all,Survey-Arrive,196755.8959,14,11:00 AM
all,Survey-Arrive,236002.276,15,11:30 AM
all,Survey-Arrive,285736.0901,16,12:00 PM
all,Survey-Arrive,268268.3627,17,12:30 PM
all,Survey-Arrive,273198.7466,18,1:00 PM
all,Survey-Arrive,232598.7393,19,1:30 PM
all,Survey-Arrive,286251.5502,20,2:00 PM
all,Survey-Arrive,490220.7689,21,2:30 PM
all,Survey-Arrive,684178.2523,22,3:00 PM
all,Survey-Arrive,661344.4917,23,3:30 PM
all,Survey-Arrive,531231.38,24,4:00 PM
all,Survey-Arrive,507896.668,25,4:30 PM
all,Survey-Arrive,605432.2405,26,5:00 PM
all,Survey-Arrive,575792.3173,27,5:30 PM
all,Survey-Arrive,570061.4126,28,6:00 PM
all,Survey-Arrive,449841.3482,29,6:30 PM
all,Survey-Arrive,375341.72,30,7:00 PM
all,Survey-Arrive,257889.7679,31,7:30 PM
all,Survey-Arrive,265606.4856,32,8:00 PM
all,Survey-Arrive,263366.2844,33,8:30 PM
all,Survey-Arrive,263688.1698,34,9:00 PM
all,Survey-Arrive,173627.8997,35,9:30 PM
all,Survey-Arrive,173670.5996,36,10:00 PM
all,Survey-Arrive,126715.1859,37,10:30 PM
all,Survey-Arrive,90866.3365,38,11:00 PM
all,Survey-Arrive,69569.97927,39,11:30 PM
all,Survey-Arrive,162356.9239,40,12:00 PM
work,Survey-Depart,97614.17437,1,3:00 AM
work,Survey-Depart,100247.4494,2,5:00 AM
work,Survey-Depart,157221.8158,3,5:30 AM
work,Survey-Depart,254362.5407,4,6:00 AM
work,Survey-Depart,332887.3362,5,6:30 AM
work,Survey-Depart,437438.2408,6,7:00 AM
work,Survey-Depart,419320.7759,7,7:30 AM
work,Survey-Depart,329024.6479,8,8:00 AM
work,Survey-Depart,189193.3411,9,8:30 AM
work,Survey-Depart,106366.2976,10,9:00 AM
work,Survey-Depart,72976.86997,11,9:30 AM
work,Survey-Depart,50558.30299,12,10:00 AM
work,Survey-Depart,31375.11517,13,10:30 AM
work,Survey-Depart,32808.72926,14,11:00 AM
work,Survey-Depart,28291.35107,15,11:30 AM
work,Survey-Depart,31787.81025,16,12:00 PM
work,Survey-Depart,37813.61925,17,12:30 PM
work,Survey-Depart,35447.10394,18,1:00 PM
work,Survey-Depart,42642.13741,19,1:30 PM
work,Survey-Depart,32148.67346,20,2:00 PM
work,Survey-Depart,24642.14414,21,2:30 PM
work,Survey-Depart,25431.61799,22,3:00 PM
work,Survey-Depart,30792.37373,23,3:30 PM
work,Survey-Depart,17608.52968,24,4:00 PM
work,Survey-Depart,18651.63774,25,4:30 PM
work,Survey-Depart,14416.98199,26,5:00 PM
work,Survey-Depart,14839.71081,27,5:30 PM
work,Survey-Depart,9773.333272,28,6:00 PM
work,Survey-Depart,6480.949866,29,6:30 PM
work,Survey-Depart,7076.350356,30,7:00 PM
work,Survey-Depart,4425.321066,31,7:30 PM
work,Survey-Depart,1998.044213,32,8:00 PM
work,Survey-Depart,908.3379752,33,8:30 PM
work,Survey-Depart,263.2215194,34,9:00 PM
work,Survey-Depart,0,35,9:30 PM
work,Survey-Depart,262.3255984,36,10:00 PM
work,Survey-Depart,141.5286523,37,10:30 PM
work,Survey-Depart,0,38,11:00 PM
work,Survey-Depart,0,39,11:30 PM
work,Survey-Depart,0,40,12:00 PM
university,Survey-Depart,0,1,3:00 AM
university,Survey-Depart,82.42872,2,5:00 AM
university,Survey-Depart,833.1255549,3,5:30 AM
university,Survey-Depart,3867.226017,4,6:00 AM
university,Survey-Depart,3949.087769,5,6:30 AM
university,Survey-Depart,19994.25141,6,7:00 AM
university,Survey-Depart,16865.51863,7,7:30 AM
university,Survey-Depart,12653.42009,8,8:00 AM
university,Survey-Depart,12267.41277,9,8:30 AM
university,Survey-Depart,9251.726004,10,9:00 AM
university,Survey-Depart,7012.11687,11,9:30 AM
university,Survey-Depart,8329.025524,12,10:00 AM
university,Survey-Depart,2971.985157,13,10:30 AM
university,Survey-Depart,2795.354558,14,11:00 AM
university,Survey-Depart,1885.205924,15,11:30 AM
university,Survey-Depart,3603.191512,16,12:00 PM
university,Survey-Depart,3817.971055,17,12:30 PM
university,Survey-Depart,1824.891052,18,1:00 PM
university,Survey-Depart,224.62205,19,1:30 PM
university,Survey-Depart,385.4922286,20,2:00 PM
university,Survey-Depart,957.7471699,21,2:30 PM
university,Survey-Depart,816.9561685,22,3:00 PM
university,Survey-Depart,219.4990217,23,3:30 PM
university,Survey-Depart,996.5865039,24,4:00 PM
university,Survey-Depart,3436.467534,25,4:30 PM
university,Survey-Depart,4424.683102,26,5:00 PM
university,Survey-Depart,4326.260702,27,5:30 PM
university,Survey-Depart,1140.440904,28,6:00 PM
university,Survey-Depart,1943.043047,29,6:30 PM
university,Survey-Depart,0,30,7:00 PM
university,Survey-Depart,0,31,7:30 PM
university,Survey-Depart,43.55268,32,8:00 PM
university,Survey-Depart,0,33,8:30 PM
university,Survey-Depart,0,34,9:00 PM
university,Survey-Depart,0,35,9:30 PM
university,Survey-Depart,0,36,10:00 PM
university,Survey-Depart,0,37,10:30 PM
university,Survey-Depart,0,38,11:00 PM
university,Survey-Depart,0,39,11:30 PM
university,Survey-Depart,0,40,12:00 PM
school,Survey-Depart,559.9687806,1,3:00 AM
school,Survey-Depart,3811.602527,2,5:00 AM
school,Survey-Depart,2202.932195,3,5:30 AM
school,Survey-Depart,21609.99605,4,6:00 AM
school,Survey-Depart,126888.1222,5,6:30 AM
school,Survey-Depart,279275.2404,6,7:00 AM
school,Survey-Depart,340150.8911,7,7:30 AM
school,Survey-Depart,282055.3996,8,8:00 AM
school,Survey-Depart,208787.4871,9,8:30 AM
school,Survey-Depart,25688.40173,10,9:00 AM
school,Survey-Depart,5195.354581,11,9:30 AM
school,Survey-Depart,2466.31722,12,10:00 AM
school,Survey-Depart,4041.047494,13,10:30 AM
school,Survey-Depart,9863.411697,14,11:00 AM
school,Survey-Depart,7179.777948,15,11:30 AM
school,Survey-Depart,12014.94044,16,12:00 PM
school,Survey-Depart,6505.049119,17,12:30 PM
school,Survey-Depart,703.9192748,18,1:00 PM
school,Survey-Depart,532.8708905,19,1:30 PM
school,Survey-Depart,247.5935138,20,2:00 PM
school,Survey-Depart,485.171927,21,2:30 PM
school,Survey-Depart,0,22,3:00 PM
school,Survey-Depart,91.03942,23,3:30 PM
school,Survey-Depart,0,24,4:00 PM
school,Survey-Depart,176.8404,25,4:30 PM
school,Survey-Depart,172.30316,26,5:00 PM
school,Survey-Depart,0,27,5:30 PM
school,Survey-Depart,1468.330839,28,6:00 PM
school,Survey-Depart,105.5553639,29,6:30 PM
school,Survey-Depart,0,30,7:00 PM
school,Survey-Depart,0,31,7:30 PM
school,Survey-Depart,0,32,8:00 PM
school,Survey-Depart,0,33,8:30 PM
school,Survey-Depart,0,34,9:00 PM
school,Survey-Depart,0,35,9:30 PM
school,Survey-Depart,0,36,10:00 PM
school,Survey-Depart,0,37,10:30 PM
school,Survey-Depart,0,38,11:00 PM
school,Survey-Depart,0,39,11:30 PM
school,Survey-Depart,0,40,12:00 PM
escort,Survey-Depart,4347.884423,1,3:00 AM
escort,Survey-Depart,723.2160623,2,5:00 AM
escort,Survey-Depart,2287.907688,3,5:30 AM
escort,Survey-Depart,9371.143872,4,6:00 AM
escort,Survey-Depart,20558.18892,5,6:30 AM
escort,Survey-Depart,49704.8812,6,7:00 AM
escort,Survey-Depart,92028.30262,7,7:30 AM
escort,Survey-Depart,88000.0466,8,8:00 AM
escort,Survey-Depart,107590.4166,9,8:30 AM
escort,Survey-Depart,24475.92534,10,9:00 AM
escort,Survey-Depart,14068.85928,11,9:30 AM
escort,Survey-Depart,12923.4599,12,10:00 AM
escort,Survey-Depart,20021.90454,13,10:30 AM
escort,Survey-Depart,42830.0503,14,11:00 AM
escort,Survey-Depart,45172.96386,15,11:30 AM
escort,Survey-Depart,14340.51231,16,12:00 PM
escort,Survey-Depart,18830.38828,17,12:30 PM
escort,Survey-Depart,12159.49076,18,1:00 PM
escort,Survey-Depart,23784.04164,19,1:30 PM
escort,Survey-Depart,55440.6106,20,2:00 PM
escort,Survey-Depart,70551.06482,21,2:30 PM
escort,Survey-Depart,54478.46547,22,3:00 PM
escort,Survey-Depart,37614.28908,23,3:30 PM
escort,Survey-Depart,31716.45497,24,4:00 PM
escort,Survey-Depart,31834.03368,25,4:30 PM
escort,Survey-Depart,48250.34184,26,5:00 PM
escort,Survey-Depart,50919.23954,27,5:30 PM
escort,Survey-Depart,23931.05797,28,6:00 PM
escort,Survey-Depart,24120.60506,29,6:30 PM
escort,Survey-Depart,14642.76959,30,7:00 PM
escort,Survey-Depart,13541.67101,31,7:30 PM
escort,Survey-Depart,14262.86987,32,8:00 PM
escort,Survey-Depart,12363.64524,33,8:30 PM
escort,Survey-Depart,6443.039684,34,9:00 PM
escort,Survey-Depart,7460.795919,35,9:30 PM
escort,Survey-Depart,10544.57406,36,10:00 PM
escort,Survey-Depart,5832.732092,37,10:30 PM
escort,Survey-Depart,1717.529416,38,11:00 PM
escort,Survey-Depart,1986.44681,39,11:30 PM
escort,Survey-Depart,1422.100989,40,12:00 PM
work-based,Survey-Depart,0,1,3:00 AM
work-based,Survey-Depart,0,2,5:00 AM
work-based,Survey-Depart,0,3,5:30 AM
work-based,Survey-Depart,1794.699978,4,6:00 AM
work-based,Survey-Depart,1606.211364,5,6:30 AM
work-based,Survey-Depart,2041.525625,6,7:00 AM
work-based,Survey-Depart,5892.157371,7,7:30 AM
work-based,Survey-Depart,7686.300676,8,8:00 AM
work-based,Survey-Depart,7863.821308,9,8:30 AM
work-based,Survey-Depart,9551.533307,10,9:00 AM
work-based,Survey-Depart,9596.482946,11,9:30 AM
work-based,Survey-Depart,13054.4751,12,10:00 AM
work-based,Survey-Depart,11783.43309,13,10:30 AM
work-based,Survey-Depart,30775.89009,14,11:00 AM
work-based,Survey-Depart,65681.62002,15,11:30 AM
work-based,Survey-Depart,79987.2174,16,12:00 PM
work-based,Survey-Depart,39140.66985,17,12:30 PM
work-based,Survey-Depart,41052.11601,18,1:00 PM
work-based,Survey-Depart,18263.76177,19,1:30 PM
work-based,Survey-Depart,10138.95434,20,2:00 PM
work-based,Survey-Depart,7234.253437,21,2:30 PM
work-based,Survey-Depart,4798.4367,22,3:00 PM
work-based,Survey-Depart,5466.047702,23,3:30 PM
work-based,Survey-Depart,4806.248709,24,4:00 PM
work-based,Survey-Depart,809.1922846,25,4:30 PM
work-based,Survey-Depart,3523.269759,26,5:00 PM
work-based,Survey-Depart,1071.340829,27,5:30 PM
work-based,Survey-Depart,1189.529851,28,6:00 PM
work-based,Survey-Depart,636.014164,29,6:30 PM
work-based,Survey-Depart,167.4091351,30,7:00 PM
work-based,Survey-Depart,260.020235,31,7:30 PM
work-based,Survey-Depart,0,32,8:00 PM
work-based,Survey-Depart,87.10536,33,8:30 PM
work-based,Survey-Depart,1346.067579,34,9:00 PM
work-based,Survey-Depart,122.397193,35,9:30 PM
work-based,Survey-Depart,25.12893,36,10:00 PM
work-based,Survey-Depart,0,37,10:30 PM
work-based,Survey-Depart,0,38,11:00 PM
work-based,Survey-Depart,0,39,11:30 PM
work-based,Survey-Depart,47.15085757,40,12:00 PM
maintenance,Survey-Depart,6104.970009,1,3:00 AM
maintenance,Survey-Depart,4777.571046,2,5:00 AM
