Index,Drive_alone_(non-toll),Shared_ride_2_(non-toll),Shared_ride_3+_(non-toll),Walk,Transit,School_bus,Bike,Drive_alone_(toll),Shared_ride_2_(toll),Shared_ride_3+_(toll),Taxi
Modeled,13271835,5680670,5146245,4420785,1626340,878250,329390,256355,40440,62510,99770
Observed,13401064,6531265,5499873,3218236,1525503,747836,274811,389805,42987,20879,70084
