Index,Full_time_worker,Part_time_worker,Non-working_adult,Non-working_senior,Preschool,Non-driving_student,Driving_age_student,University_student
Modeled,3449943,977757,1797250,828373,814589,1491141,397782,480924
Observed,3551634,876988,1545237,1012477,763216,1558615,381492,761582
