root,node,count,Category,color,
Kendall,Chicago (South),10,Model,#c99048,KendallChicago (South)Model
Kendall,Chicago (South),579.11302,Survey,#c99048,KendallChicago (South)Survey
Kendall,Cook (South),110,Model,#c99048,KendallCook (South)Model
Kendall,Cook (South),307.8369462,Survey,#c99048,KendallCook (South)Survey
Kendall,Chicago (West),130,Model,#c99048,KendallChicago (West)Model
Kendall,Chicago (West),989.5861702,Survey,#c99048,KendallChicago (West)Survey
Kendall,Cook (West),690,Model,#c99048,KendallCook (West)Model
Kendall,Cook (West),264.0479752,Survey,#c99048,KendallCook (West)Survey
Kendall,Will,4310,Model,#c99048,KendallWillModel
Kendall,Will,1490.096236,Survey,#c99048,KendallWillSurvey
Lake,All,377310,Model,,
Lake,All,423491.0462,Survey,,
Lake,Chicago (CBD),2985,Model,#5083de,LakeChicago (CBD)Model
Lake,Chicago (CBD),19771.82652,Survey,#5083de,LakeChicago (CBD)Survey
Lake,DuPage,1850,Model,#5083de,LakeDuPageModel
Lake,DuPage,12304.22099,Survey,#5083de,LakeDuPageSurvey
Lake,Kane,1635,Model,#5083de,LakeKaneModel
Lake,Kane,4868.654379,Survey,#5083de,LakeKaneSurvey
Lake,Kendall,5,Model,#5083de,LakeKendallModel
Lake,Kendall,103.1892874,Survey,#5083de,LakeKendallSurvey
Lake,Lake,292880,Model,#5083de,LakeLakeModel
Lake,Lake,288142.0191,Survey,#5083de,LakeLakeSurvey
Lake,McHenry,14195,Model,#5083de,LakeMcHenryModel
Lake,McHenry,15556.11399,Survey,#5083de,LakeMcHenrySurvey
Lake,Chicago (North),3590,Model,#5083de,LakeChicago (North)Model
Lake,Chicago (North),10598.3491,Survey,#5083de,LakeChicago (North)Survey
Lake,Cook (North),57200,Model,#5083de,LakeCook (North)Model
Lake,Cook (North),62022.56915,Survey,#5083de,LakeCook (North)Survey
Lake,Chicago (South),55,Model,#5083de,LakeChicago (South)Model
Lake,Chicago (South),1555.592863,Survey,#5083de,LakeChicago (South)Survey
Lake,Cook (South),5,Model,#5083de,LakeCook (South)Model
Lake,Cook (South),1170.036635,Survey,#5083de,LakeCook (South)Survey
Lake,Chicago (West),515,Model,#5083de,LakeChicago (West)Model
Lake,Chicago (West),1346.221678,Survey,#5083de,LakeChicago (West)Survey
Lake,Cook (West),2365,Model,#5083de,LakeCook (West)Model
Lake,Cook (West),5048.64678,Survey,#5083de,LakeCook (West)Survey
Lake,Will,30,Model,#5083de,LakeWillModel
Lake,Will,1003.605684,Survey,#5083de,LakeWillSurvey
McHenry,All,133060,Model,,
McHenry,All,177231.2821,Survey,,
McHenry,Chicago (CBD),310,Model,#698d3c,McHenryChicago (CBD)Model
McHenry,Chicago (CBD),3534.214085,Survey,#698d3c,McHenryChicago (CBD)Survey
McHenry,DuPage,1910,Model,#698d3c,McHenryDuPageModel
McHenry,DuPage,1721.128988,Survey,#698d3c,McHenryDuPageSurvey
McHenry,Kane,10790,Model,#698d3c,McHenryKaneModel
McHenry,Kane,11528.65174,Survey,#698d3c,McHenryKaneSurvey
McHenry,Kendall,10,Model,#698d3c,McHenryKendallModel
McHenry,Kendall,0,Survey,#698d3c,McHenryKendallSurvey
McHenry,Lake,17290,Model,#698d3c,McHenryLakeModel
McHenry,Lake,17546.85288,Survey,#698d3c,McHenryLakeSurvey
McHenry,McHenry,86290,Model,#698d3c,McHenryMcHenryModel
McHenry,McHenry,116197.8526,Survey,#698d3c,McHenryMcHenrySurvey
McHenry,Chicago (North),665,Model,#698d3c,McHenryChicago (North)Model
McHenry,Chicago (North),3296.912474,Survey,#698d3c,McHenryChicago (North)Survey
McHenry,Cook (North),12895,Model,#698d3c,McHenryCook (North)Model
McHenry,Cook (North),16503.30952,Survey,#698d3c,McHenryCook (North)Survey
McHenry,Chicago (South),0,Model,#698d3c,McHenryChicago (South)Model
McHenry,Chicago (South),130.2602923,Survey,#698d3c,McHenryChicago (South)Survey
McHenry,Cook (South),0,Model,#698d3c,McHenryCook (South)Model
McHenry,Cook (South),317.1417833,Survey,#698d3c,McHenryCook (South)Survey
McHenry,Chicago (West),30,Model,#698d3c,McHenryChicago (West)Model
McHenry,Chicago (West),843.4528537,Survey,#698d3c,McHenryChicago (West)Survey
McHenry,Cook (West),2870,Model,#698d3c,McHenryCook (West)Model
McHenry,Cook (West),5611.504893,Survey,#698d3c,McHenryCook (West)Survey
McHenry,Will,0,Model,#698d3c,McHenryWillModel
McHenry,Will,0,Survey,#698d3c,McHenryWillSurvey
Chicago (North),All,642410,Model,,
Chicago (North),All,532191.4714,Survey,,
Chicago (North),Chicago (CBD),117360,Model,#d971b15,Chicago (North)Chicago (CBD)Model
Chicago (North),Chicago (CBD),108010.3003,Survey,#d971b15,Chicago (North)Chicago (CBD)Survey
Chicago (North),DuPage,10835,Model,#d971b15,Chicago (North)DuPageModel
Chicago (North),DuPage,14372.90813,Survey,#d971b15,Chicago (North)DuPageSurvey
Chicago (North),Kane,1085,Model,#d971b15,Chicago (North)KaneModel
Chicago (North),Kane,3806.000632,Survey,#d971b15,Chicago (North)KaneSurvey
Chicago (North),Kendall,75,Model,#d971b15,Chicago (North)KendallModel
Chicago (North),Kendall,0,Survey,#d971b15,Chicago (North)KendallSurvey
Chicago (North),Lake,3655,Model,#d971b15,Chicago (North)LakeModel
Chicago (North),Lake,14330.79526,Survey,#d971b15,Chicago (North)LakeSurvey
Chicago (North),McHenry,445,Model,#d971b15,Chicago (North)McHenryModel
Chicago (North),McHenry,2948.188399,Survey,#d971b15,Chicago (North)McHenrySurvey
Chicago (North),Chicago (North),345430,Model,#d971b15,Chicago (North)Chicago (North)Model
Chicago (North),Chicago (North),201480.2985,Survey,#d971b15,Chicago (North)Chicago (North)Survey
Chicago (North),Cook (North),76815,Model,#d971b15,Chicago (North)Cook (North)Model
Chicago (North),Cook (North),71365.92105,Survey,#d971b15,Chicago (North)Cook (North)Survey
Chicago (North),Chicago (South),8840,Model,#d971b15,Chicago (North)Chicago (South)Model
Chicago (North),Chicago (South),19181.83769,Survey,#d971b15,Chicago (North)Chicago (South)Survey
Chicago (North),Cook (South),2240,Model,#d971b15,Chicago (North)Cook (South)Model
Chicago (North),Cook (South),7623.236523,Survey,#d971b15,Chicago (North)Cook (South)Survey
Chicago (North),Chicago (West),48810,Model,#d971b15,Chicago (North)Chicago (West)Model
Chicago (North),Chicago (West),57684.32671,Survey,#d971b15,Chicago (North)Chicago (West)Survey
Chicago (North),Cook (West),26075,Model,#d971b15,Chicago (North)Cook (West)Model
Chicago (North),Cook (West),26849.64752,Survey,#d971b15,Chicago (North)Cook (West)Survey
Chicago (North),Will,745,Model,#d971b15,Chicago (North)WillModel
Chicago (North),Will,4538.010709,Survey,#d971b15,Chicago (North)WillSurvey
Cook (North),All,659625,Model,,
Cook (North),All,664626.274,Survey,,
Cook (North),Chicago (CBD),13000,Model,#43c8ac,Cook (North)Chicago (CBD)Model
Cook (North),Chicago (CBD),35777.40079,Survey,#43c8ac,Cook (North)Chicago (CBD)Survey
Cook (North),DuPage,23685,Model,#43c8ac,Cook (North)DuPageModel
Cook (North),DuPage,39279.67628,Survey,#43c8ac,Cook (North)DuPageSurvey
Cook (North),Kane,9480,Model,#43c8ac,Cook (North)KaneModel
Cook (North),Kane,7317.166067,Survey,#43c8ac,Cook (North)KaneSurvey
Cook (North),Kendall,80,Model,#43c8ac,Cook (North)KendallModel
Cook (North),Lake,57495,Model,#43c8ac,Cook (North)LakeModel
Cook (North),Lake,57642.94966,Survey,#43c8ac,Cook (North)LakeSurvey
Cook (North),McHenry,9660,Model,#43c8ac,Cook (North)McHenryModel
Cook (North),McHenry,14713.98642,Survey,#43c8ac,Cook (North)McHenrySurvey
Cook (North),Chicago (North),67460,Model,#43c8ac,Cook (North)Chicago (North)Model
Cook (North),Chicago (North),64038.75442,Survey,#43c8ac,Cook (North)Chicago (North)Survey
Cook (North),Cook (North),436545,Model,#43c8ac,Cook (North)Cook (North)Model
Cook (North),Cook (North),367812.8841,Survey,#43c8ac,Cook (North)Cook (North)Survey
Cook (North),Chicago (South),1150,Model,#43c8ac,Cook (North)Chicago (South)Model
Cook (North),Chicago (South),11509.04069,Survey,#43c8ac,Cook (North)Chicago (South)Survey
Cook (North),Cook (South),540,Model,#43c8ac,Cook (North)Cook (South)Model
Cook (North),Cook (South),7085.967488,Survey,#43c8ac,Cook (North)Cook (South)Survey
Cook (North),Chicago (West),3990,Model,#43c8ac,Cook (North)Chicago (West)Model
Cook (North),Chicago (West),14888.60622,Survey,#43c8ac,Cook (North)Chicago (West)Survey
Cook (North),Cook (West),35925,Model,#43c8ac,Cook (North)Cook (West)Model
Cook (North),Cook (West),36835.13008,Survey,#43c8ac,Cook (North)Cook (West)Survey
Cook (North),Will,615,Model,#43c8ac,Cook (North)WillModel
Cook (North),Will,7724.711758,Survey,#43c8ac,Cook (North)WillSurvey
Chicago (South),All,287955,Model,,
Chicago (South),All,315459.8781,Survey,,
Chicago (South),Chicago (CBD),64520,Model,#8c2b83,Chicago (South)Chicago (CBD)Model
Chicago (South),Chicago (CBD),59201.12688,Survey,#8c2b83,Chicago (South)Chicago (CBD)Survey
Chicago (South),DuPage,2190,Model,#8c2b83,Chicago (South)DuPageModel
Chicago (South),DuPage,5607.378966,Survey,#8c2b83,Chicago (South)DuPageSurvey
Chicago (South),Kane,25,Model,#8c2b83,Chicago (South)KaneModel
Chicago (South),Kane,566.5817523,Survey,#8c2b83,Chicago (South)KaneSurvey
Chicago (South),Kendall,10,Model,#8c2b83,Chicago (South)KendallModel
Chicago (South),Kendall,579.11302,Survey,#8c2b83,Chicago (South)KendallSurvey
Chicago (South),Lake,75,Model,#8c2b83,Chicago (South)LakeModel
Chicago (South),Lake,1453.638435,Survey,#8c2b83,Chicago (South)LakeSurvey
Chicago (South),McHenry,0,Model,#8c2b83,Chicago (South)McHenryModel
Chicago (South),McHenry,130.2602923,Survey,#8c2b83,Chicago (South)McHenrySurvey
Chicago (South),Chicago (North),10105,Model,#8c2b83,Chicago (South)Chicago (North)Model
Chicago (South),Chicago (North),18943.37777,Survey,#8c2b83,Chicago (South)Chicago (North)Survey
Chicago (South),Cook (North),1745,Model,#8c2b83,Chicago (South)Cook (North)Model
Chicago (South),Cook (North),10053.25476,Survey,#8c2b83,Chicago (South)Cook (North)Survey
Chicago (South),Chicago (South),129740,Model,#8c2b83,Chicago (South)Chicago (South)Model
Chicago (South),Chicago (South),126696.5464,Survey,#8c2b83,Chicago (South)Chicago (South)Survey
Chicago (South),Cook (South),31040,Model,#8c2b83,Chicago (South)Cook (South)Model
Chicago (South),Cook (South),29479.70237,Survey,#8c2b83,Chicago (South)Cook (South)Survey
Chicago (South),Chicago (West),38265,Model,#8c2b83,Chicago (South)Chicago (West)Model
Chicago (South),Chicago (West),43146.00727,Survey,#8c2b83,Chicago (South)Chicago (West)Survey
Chicago (South),Cook (West),8620,Model,#8c2b83,Chicago (South)Cook (West)Model
Chicago (South),Cook (West),13836.73942,Survey,#8c2b83,Chicago (South)Cook (West)Survey
Chicago (South),Will,1620,Model,#8c2b83,Chicago (South)WillModel
Chicago (South),Will,5766.150773,Survey,#8c2b83,Chicago (South)WillSurvey
Cook (South),All,357175,Model,,
Cook (South),All,358754.0159,Survey,,
Cook (South),Chicago (CBD),17310,Model,#b98064,Cook (South)Chicago (CBD)Model
Cook (South),Chicago (CBD),31393.46879,Survey,#b98064,Cook (South)Chicago (CBD)Survey
Cook (South),DuPage,8395,Model,#b98064,Cook (South)DuPageModel
Cook (South),DuPage,12186.56457,Survey,#b98064,Cook (South)DuPageSurvey
Cook (South),Kane,35,Model,#b98064,Cook (South)KaneModel
Cook (South),Kane,395.5397629,Survey,#b98064,Cook (South)KaneSurvey
Cook (South),Kendall,70,Model,#b98064,Cook (South)KendallModel
Cook (South),Kendall,818.1559653,Survey,#b98064,Cook (South)KendallSurvey
Cook (South),Lake,5,Model,#b98064,Cook (South)LakeModel
Cook (South),Lake,1232.840622,Survey,#b98064,Cook (South)LakeSurvey
Cook (South),McHenry,0,Model,#b98064,Cook (South)McHenryModel
Cook (South),McHenry,317.1417833,Survey,#b98064,Cook (South)McHenrySurvey
Cook (South),Chicago (North),3010,Model,#b98064,Cook (South)Chicago (North)Model
Cook (South),Chicago (North),8723.306752,Survey,#b98064,Cook (South)Chicago (North)Survey
Cook (South),Cook (North),865,Model,#b98064,Cook (South)Cook (North)Model
Cook (South),Cook (North),8158.110583,Survey,#b98064,Cook (South)Cook (North)Survey
Cook (South),Chicago (South),28920,Model,#b98064,Cook (South)Chicago (South)Model
Cook (South),Chicago (South),32531.56748,Survey,#b98064,Cook (South)Chicago (South)Survey
Cook (South),Cook (South),241770,Model,#b98064,Cook (South)Cook (South)Model
Cook (South),Cook (South),190738.0367,Survey,#b98064,Cook (South)Cook (South)Survey
Cook (South),Chicago (West),10935,Model,#b98064,Cook (South)Chicago (West)Model
Cook (South),Chicago (West),19213.62578,Survey,#b98064,Cook (South)Chicago (West)Survey
Cook (South),Cook (West),19290,Model,#b98064,Cook (South)Cook (West)Model
Cook (South),Cook (West),22607.55653,Survey,#b98064,Cook (South)Cook (West)Survey
Cook (South),Will,26570,Model,#b98064,Cook (South)WillModel
Cook (South),Will,30438.10057,Survey,#b98064,Cook (South)WillSurvey
Chicago (West),All,342570,Model,,
Chicago (West),All,360343.9492,Survey,,
Chicago (West),Chicago (CBD),60310,Model,#848bd16,Chicago (West)Chicago (CBD)Model
Chicago (West),Chicago (CBD),40452.25539,Survey,#848bd16,Chicago (West)Chicago (CBD)Survey
Chicago (West),DuPage,5770,Model,#848bd16,Chicago (West)DuPageModel
Chicago (West),DuPage,17378.14725,Survey,#848bd16,Chicago (West)DuPageSurvey
Chicago (West),Kane,350,Model,#848bd16,Chicago (West)KaneModel
Chicago (West),Kane,542.4180728,Survey,#848bd16,Chicago (West)KaneSurvey
Chicago (West),Kendall,95,Model,#848bd16,Chicago (West)KendallModel
Chicago (West),Lake,465,Model,#848bd16,Chicago (West)LakeModel
Chicago (West),Lake,1456.138327,Survey,#848bd16,Chicago (West)LakeSurvey
Chicago (West),McHenry,20,Model,#848bd16,Chicago (West)McHenryModel
Chicago (West),McHenry,735.2060778,Survey,#848bd16,Chicago (West)McHenrySurvey
Chicago (West),Chicago (North),45260,Model,#848bd16,Chicago (West)Chicago (North)Model
Chicago (West),Chicago (North),57152.71811,Survey,#848bd16,Chicago (West)Chicago (North)Survey
Chicago (West),Cook (North),4885,Model,#848bd16,Chicago (West)Cook (North)Model
Chicago (West),Cook (North),16447.13944,Survey,#848bd16,Chicago (West)Cook (North)Survey
Chicago (West),Chicago (South),31135,Model,#848bd16,Chicago (West)Chicago (South)Model
Chicago (West),Chicago (South),41854.00374,Survey,#848bd16,Chicago (West)Chicago (South)Survey
Chicago (West),Cook (South),8860,Model,#848bd16,Chicago (West)Cook (South)Model
Chicago (West),Cook (South),16900.39047,Survey,#848bd16,Chicago (West)Cook (South)Survey
Chicago (West),Chicago (West),154885,Model,#848bd16,Chicago (West)Chicago (West)Model
Chicago (West),Chicago (West),136105.2336,Survey,#848bd16,Chicago (West)Chicago (West)Survey
Chicago (West),Cook (West),28840,Model,#848bd16,Chicago (West)Cook (West)Model
Chicago (West),Cook (West),26920.12383,Survey,#848bd16,Chicago (West)Cook (West)Survey
Chicago (West),Will,1695,Model,#848bd16,Chicago (West)WillModel
Chicago (West),Will,4400.174876,Survey,#848bd16,Chicago (West)WillSurvey
Cook (West),All,441245,Model,,
Cook (West),All,406508.8793,Survey,,
Cook (West),Chicago (CBD),28425,Model,#b44946,Cook (West)Chicago (CBD)Model
Cook (West),Chicago (CBD),33100.49907,Survey,#b44946,Cook (West)Chicago (CBD)Survey
Cook (West),DuPage,68285,Model,#b44946,Cook (West)DuPageModel
Cook (West),DuPage,55873.40675,Survey,#b44946,Cook (West)DuPageSurvey
Cook (West),Kane,11435,Model,#b44946,Cook (West)KaneModel
Cook (West),Kane,8120.905082,Survey,#b44946,Cook (West)KaneSurvey
Cook (West),Kendall,495,Model,#b44946,Cook (West)KendallModel
Cook (West),Kendall,264.0479752,Survey,#b44946,Cook (West)KendallSurvey
Cook (West),Lake,2765,Model,#b44946,Cook (West)LakeModel
Cook (West),Lake,6038.018268,Survey,#b44946,Cook (West)LakeSurvey
Cook (West),McHenry,2145,Model,#b44946,Cook (West)McHenryModel
Cook (West),McHenry,4698.26641,Survey,#b44946,Cook (West)McHenrySurvey
Cook (West),Chicago (North),26720,Model,#b44946,Cook (West)Chicago (North)Model
Cook (West),Chicago (North),27566.05673,Survey,#b44946,Cook (West)Chicago (North)Survey
Cook (West),Cook (North),42785,Model,#b44946,Cook (West)Cook (North)Model
Cook (West),Cook (North),37379.99396,Survey,#b44946,Cook (West)Cook (North)Survey
Cook (West),Chicago (South),6585,Model,#b44946,Cook (West)Chicago (South)Model
Cook (West),Chicago (South),13201.59032,Survey,#b44946,Cook (West)Chicago (South)Survey
Cook (West),Cook (South),16345,Model,#b44946,Cook (West)Cook (South)Model
Cook (West),Cook (South),23082.97215,Survey,#b44946,Cook (West)Cook (South)Survey
Cook (West),Chicago (West),29755,Model,#b44946,Cook (West)Chicago (West)Model
Cook (West),Chicago (West),29548.22514,Survey,#b44946,Cook (West)Chicago (West)Survey
Cook (West),Cook (West),196400,Model,#b44946,Cook (West)Cook (West)Model
Cook (West),Cook (West),161996.3825,Survey,#b44946,Cook (West)Cook (West)Survey
Cook (West),Will,9105,Model,#b44946,Cook (West)WillModel
Cook (West),Will,5638.514973,Survey,#b44946,Cook (West)WillSurvey
Will,All,289900,Model,,
Will,All,306839.5132,Survey,,
Will,Chicago (CBD),5790,Model,#bc4865,WillChicago (CBD)Model
Will,Chicago (CBD),16119.1125,Survey,#bc4865,WillChicago (CBD)Survey
Will,DuPage,48550,Model,#bc4865,WillDuPageModel
Will,DuPage,44473.50629,Survey,#bc4865,WillDuPageSurvey
Will,Kane,4450,Model,#bc4865,WillKaneModel
Will,Kane,6513.343161,Survey,#bc4865,WillKaneSurvey
Will,Kendall,3985,Model,#bc4865,WillKendallModel
Will,Kendall,1498.113082,Survey,#bc4865,WillKendallSurvey
Will,Lake,35,Model,#bc4865,WillLakeModel
Will,Lake,697.146477,Survey,#bc4865,WillLakeSurvey
Will,McHenry,0,Model,#bc4865,WillMcHenryModel
Will,McHenry,317.1417833,Survey,#bc4865,WillMcHenrySurvey
Will,Chicago (North),870,Model,#bc4865,WillChicago (North)Model
Will,Chicago (North),3148.288519,Survey,#bc4865,WillChicago (North)Survey
Will,Cook (North),800,Model,#bc4865,WillCook (North)Model
Will,Cook (North),6682.679022,Survey,#bc4865,WillCook (North)Survey
Will,Chicago (South),1855,Model,#bc4865,WillChicago (South)Model
Will,Chicago (South),7524.551443,Survey,#bc4865,WillChicago (South)Survey
Will,Cook (South),25715,Model,#bc4865,WillCook (South)Model
Will,Cook (South),31347.81804,Survey,#bc4865,WillCook (South)Survey
Will,Chicago (West),2085,Model,#bc4865,WillChicago (West)Model
Will,Chicago (West),6192.288748,Survey,#bc4865,WillChicago (West)Survey
Will,Cook (West),11070,Model,#bc4865,WillCook (West)Model
Will,Cook (West),9667.091072,Survey,#bc4865,WillCook (West)Survey
Will,Will,184695,Model,#bc4865,WillWillModel
