Vrange,Weight (Miles),Links,AADT,Model Volumes,rmse,%rmse,Florida DOT
0 - 4999,5744.01,10003,2609.8,3642.26,2343.01,0.90,1
5000 - 9999,2648.54,7497,7140.24,7580.53,2927.32,0.41,0.45
10000 - 14999,1167.86,3643,12180,12394,4094.27,0.34,0.35
15000 - 19999,906.8,1424,17137,17769,6502.68,0.38,0.3
20000 - 29999,254.62,585,23562,25667,7339.44,0.31,0.27
30000 - 49999,380.42,306,38501,38615,11370,0.3,0.25
50000 - 59999,165.19,166,55114,46742,12978,0.24,0.2
60000 and up,475.59,723,78596,63825,19529,0.25,0.19
