Index,Full-time_worker,Part-time_worker,University_student,Non-working_adult,Non-working_senior,Driving_age_student,Non-driving_student,Preschool
Modeled,3893320,902370,363730,1424490,849500,350065,1486640,505990
Observed,4052554.8,840608.2,402376.8,1273927.1,653659.2,370577.8,1277411.6,466170.4
