Vrange,Weight (Miles),Links,AADT,Model Volumes,rmse,%rmse
0,11260.40327,11725,2288.032851,3187.704117,2812.110722,1.229051725
10000,8636.491955,11897,8825.908812,8982.480603,5331.181209,0.604037649
20000,2309.694801,2111,18575.85804,19295.85081,8152.709932,0.438887394
30000,400.270293,301,30094.49388,32581.19846,16374.06211,0.544088303
40000,188.1163957,166,39565.77556,40560.12264,11219.54434,0.2835669
50000,332.5486892,149,50285.08575,40711.43117,27739.44959,0.551643677
60000,203.544898,227,60048.05601,47880.54383,16538.5558,0.275422002
70000,175.9146008,208,69998.45802,56169.66649,17718.49579,0.253126944
80000,127.9779998,143,79733.69761,61365.91624,24072.79875,0.301914993
90000,60.84599997,85,88625.00957,74336.89191,20445.71309,0.230699135
100000,15.33190002,151,111457.7853,91039.59601,13374.14538,0.119992922
