Index,Full_time_worker,Part_time_worker,University_student,Non-working adult,Non-working senior,Driving age student,Non-driving student,Preschool
Observed,3982185.5,897589.4,387910.6,1105387.9,781753.6,311034.3,1490214.8,883972.8
Modeled,3453525,981075,483380,1790895,830250,397245,1489955,813935
