Vrange,Number of Links,Observed VMT,Model VMT,Percent Diff
0.0,10987,18358524.9481868,25515006.21955292,0.38981787978957066
10000.0,10680,45599104.37869933,44539117.56197362,-0.02324578149435889
20000.0,1530,12899359.429943563,11481600.396208672,-0.10990925878410793
30000.0,93,1042134.5006270334,816798.4575577894,-0.2162254900242372
Total,23290,77899123.25745669,82352522.63529232,0.05716879974524414
