County,FacilityType,obs_muvmt,hv_truck,diff,obs_share,modeled_share,diff_share
Boone,Arterial/Collector,16272.500094771385,59256.122987525756,42983.62289275437,0.0022803960213986564,0.0061282774506931,0.0038478814292944434
Boone,Interstate,46996.00018411875,29709.89149758964,-17286.108686529107,0.006585926638030881,0.0030726015970627307,-0.0035133250409681506
Chicago,Arterial/Collector,160293.99919845164,110797.39394221896,-49496.60525623268,0.022463284430625407,0.011458683704882263,-0.011004600725743144
Chicago,Interstate,482280.9993924573,592151.3651353195,109870.36574286222,0.06758590664037593,0.061240386231813417,-0.0063455204085625175
DeKalb,Arterial/Collector,30654.999990016222,130224.50590087073,99569.50591085451,0.00429593114801521,0.013467838643577099,0.00917190749556189
DeKalb,Interstate,74222.99948688596,100866.35693780945,26643.35745092349,0.010401464540814752,0.010431614314113423,3.0149773298671773e-05
DuPage,Arterial/Collector,150864.99971067533,99906.0043556451,-50958.99535503023,0.021141923066823422,0.010332294500779843,-0.010809628566043578
DuPage,Interstate,614056.0022101738,462387.4510749212,-151668.55113525258,0.08605259524969863,0.047820182067976655,-0.03823241318172198
Grundy,Arterial/Collector,30480.00004440546,141248.41816069157,110768.4181162861,0.004271407001301946,0.014607933363147278,0.010336526361845332
Grundy,Interstate,263843.50184202194,533637.71136431,269794.20952228806,0.03697450719731514,0.05518889506290875,0.01821438786559361
Kane,Arterial/Collector,94504.49948497117,137601.31129014757,43096.8118051764,0.013243673889978692,0.014230749003655386,0.0009870751136766935
Kane,Interstate,188621.0001423955,189526.91963026318,905.919487867679,0.02643297439065076,0.019600903489989916,-0.006832070900660844
Kankakee,Arterial/Collector,5676.4999106526375,8329.712002786962,2653.212092134325,0.0007954934851026015,0.0008614601101761764,6.596662507357492e-05
Kankakee,Interstate,32832.99988359213,34296.28385317057,1463.2839695784423,0.004601151751056599,0.0035469270074284186,-0.0010542247436281806
Kendall,Arterial/Collector,52734.99971777201,120835.78707035954,68100.78735258753,0.007390178696849843,0.012496855882655806,0.005106677185805962
Kendall,Interstate,26493.000389635563,53638.74220488121,27145.741815245645,0.0037126767449121197,0.005547327056934057,0.001834650312021937
Kenosha,Arterial/Collector,517.4999952316284,1618.332581413308,1100.8325861816795,7.252142715176358e-05,0.00016736820713844072,9.484677998667714e-05
Kenosha,Interstate,12212.00020313263,19174.86376499681,6962.863561864182,0.0017113655869936853,0.001983067391295232,0.00027170180430154687
LaSalle,Arterial/Collector,39525.49987845123,152593.71532918655,113068.21545073533,0.005539025481129029,0.0157812657599316,0.010242240278802571
LaSalle,Interstate,458739.49500769377,1007477.6630520483,548738.1680443545,0.06428684671571179,0.10419349652454622,0.03990664980883443
Lake,Arterial/Collector,98349.99999124557,158042.62265121032,59692.62265996475,0.01378257473519131,0.01634479260220416,0.002562217867012849
Lake,Interstate,487662.0018571615,560339.5502543378,72677.54839717632,0.06833998969707787,0.05795040339169775,-0.010389586305380123
"Lake, IN",Arterial/Collector,1492.0000404119492,4309.588207924075,2817.5881675121254,0.00020908593862446946,0.0004456982823860032,0.00023661234376153376
"Lake, IN",Interstate,2117.500066757202,3.49922168796229,-2114.00084506924,0.0002967422768119119,3.618900509206425e-07,-0.00029638038676099124
Lee,Interstate,112385.00043153763,361166.11712707486,248781.11669553723,0.015749411974581108,0.037351855976304284,0.021602444001723176
McHenry,Arterial/Collector,100681.49966299534,193479.20752730683,92797.7078643115,0.014109306493949068,0.02000964971868258,0.005900343224733512
McHenry,Interstate,60294.00084614754,31536.307182377903,-28757.693663769634,0.008449482184236775,0.003261489791098583,-0.005187992393138191
Ogle,Arterial/Collector,4350.000038743019,19560.85770944469,15210.85767070167,0.0006096004131916366,0.0020229869450325223,0.0014133865318408858
Ogle,Interstate,196412.50126808882,383212.25424395147,186799.75297586265,0.02752485996842152,0.03963187090398838,0.012107010935566858
Other,Arterial/Collector,1402.0000100135803,10915.018566508694,9513.018556495113,0.00019647351213493796,0.0011288329168803886,0.0009323594047454507
Other,Interstate,14332.500278949738,23424.669102657124,9092.168823707387,0.002008528279149553,0.0024225829199453516,0.00041405464079579844
Suburban Cook,Arterial/Collector,403814.4984493032,367136.0572282504,-36678.44122105278,0.05658976618735869,0.037969268109590906,-0.018620498077767784
Suburban Cook,Interstate,1524853.5014164634,1453517.221216224,-71336.2802002395,0.21368995775659672,0.15032297696642496,-0.06336698079017175
Walworth,Arterial/Collector,167.50000417232513,660.4708927800863,492.97088860776114,2.347311973416798e-05,6.830600240105834e-05,4.483288266689035e-05
Will,Arterial/Collector,164455.50008434802,303057.3760386361,138601.87595428806,0.023046468944865745,0.03134224093997448,0.008295771995108735
Will,Interstate,724291.495044902,1119633.9473840604,395342.4523391584,0.10150077947542846,0.11579271688477945,0.014291937409350988
Winnebago,Arterial/Collector,75063.99953067303,209977.71625835597,134913.71672768294,0.010519320625785023,0.021715928056329412,0.011196607430544389
Winnebago,Interstate,381873.00270311534,484044.0445485598,102171.04184544447,0.053514928312924176,0.05005991033152278,-0.0034550179814013954
Total,Total,7135821.998492535,9669295.077497507,2533473.0790049713,1.0,1.0,0.0
